stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.58,13.14,0,0,44.69,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,198.26,34.62,0,0,47.2,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,11,4,0,2,0,0,0,1,0,1,0,0,0,0,0,2,6,0,0,4,43,10,0,0,0,0,2,0,1,1,20,0,0,3,0
 24-34,0,0,0,0,5.75,0.82,0,9.85,0,0.82,0.82,4.93,0,0,0.82,0,0,0,0,0.82,14.78,0,0,8.21,161.71,3.28,0.82,2.46,0,0,2.46,0,0,0,55,0,0,25.45,0
 36-46,0,0,0,0,3.22,0.81,0,2.42,0.81,0,0,10.47,0,0,0,1.61,0,0,0,0.81,21.75,0,0,3.22,157.11,0.81,0,0.81,0,0,0,0,0,0,54.79,0,0,12.89,0.81
 48-58,0,0,0,0,2.87,0,0,9.75,0,0.57,0.57,17.79,0,0,1.15,2.3,0,1.15,0,0,28.69,0,0.57,5.16,82.63,1.72,0,0.57,0,0.57,0.57,0,1.15,0,35,0,0,10.9,1.72
 60-70,0,0,0,0,0,0,0,9.82,0,0,0,9.82,0,0,0.98,7.85,0,1.96,0,0,24.54,0,1.96,0.98,40.24,0,0,0,0,0.98,0,0,0,0,15.7,0,0,8.83,0.98
 72-82,0,0,0,0,5.89,0,0,4.91,0,0,1.96,33.38,0.98,0,0.98,5.89,0.98,0.98,0,0,37.3,0,3.93,1.96,33.38,0,0,0.98,0,1.96,0,0,0,0,7.85,0,1.96,31.41,0.98
 84-94,0,0,0,0,5.31,1.06,0,3.19,0,2.12,1.06,10.62,0,0,1.06,6.37,0,3.19,0,0,21.24,0,3.19,3.19,18.05,0,0,0,0,1.06,1.06,0,0,0,5.31,0,0,12.74,0
 96-106,0,0,0,0,4.37,1.09,1.09,3.28,0,2.19,1.09,17.49,1.09,0,4.37,12.02,0,2.19,1.09,0,25.14,0,4.37,2.19,24.04,0,0,2.19,0,1.09,2.19,0,0,0,1.09,0,0,7.65,0
108-118,0,0,0,0,10.72,0.77,0.77,2.3,0,2.3,0,6.13,0.77,0,0,3.83,0,4.6,0,0,9.19,2.3,4.6,1.53,12.26,0,0,0,0,0,0.77,0,0,0,0,0.77,0,9.96,0
120,0,0,1.96,0,7.84,0,0,1.96,0,1.96,0,7.84,1.96,0,0,9.8,0,3.92,0,0,7.84,0,0,0,7.84,0,0,0,0,0,0,0,0,0,3.92,0,0,3.92,0
