stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,22,13,0,0,0,0,0,0,0,4,50,0,0,0,0,0
 24-34,0,0,0,2.46,0.82,0,6.57,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,3.28,0,0,2.46,220.81,0.82,0,1.64,0,0.82,0,0,0,1.64,168.28,0,0,3.28,0,0
 36-46,0,0,0,4.83,0,0,13.7,0,0,0.81,2.42,0,0,0.81,0,0,0,0,0,0,9.67,0,0,3.22,584.11,0,0.81,0,0,4.03,0,0.81,0,0,279.57,0,0,1.61,0,0
 48-58,0,0,0,8.61,0.57,0,63.69,1.15,0,2.3,10.9,0.57,0,0,0,1.15,2.3,1.15,0.57,0,30.99,0,0.57,6.89,864.15,1.72,1.15,0.57,0,4.02,0,0,0,0,347.73,0,0,2.87,0,5.16
 60-70,0,0,0,3.93,0,0,93.24,0,0,0.98,14.72,0,0,0.98,3.93,0,0,0,0,0.98,37.3,0.98,3.93,3.93,734.18,0,1.96,0,0,4.91,0,0,0.98,0,344.51,0,0.98,1.96,0,1.96
 72-82,0,0,0,10.8,5.89,0,62.83,0,0,1.96,15.71,0.98,0,0,0.98,0.98,0,0,0,0,37.3,0,0,3.93,568.38,0,2.94,0,0.98,5.89,0,0.98,0.98,0,192.41,0.98,0,1.96,0.98,1.96
 84-94,0,0,0,12.74,4.25,0,63.72,1.06,1.06,1.06,9.56,1.06,0,0,0,0,3.19,0,0,0,20.18,0,1.06,2.12,295.25,0,0,1.06,0,6.37,0,0,1.06,0,105.14,0,1.06,3.19,0,2.12
 96-106,0,0,0,12.02,5.46,1.09,41.53,0,2.19,1.09,10.93,1.09,0,0,1.09,3.28,0,0,0,0,18.58,0,0,3.28,192.34,0,1.09,2.19,0,1.09,0,0,0,0,49.18,0,1.09,3.28,1.09,1.09
108-118,0,0,0,6.89,3.06,0,11.49,0,0,0,3.06,1.53,0,0.77,1.53,0.77,0.77,0.77,1.53,0,12.26,0,0.77,2.3,190.72,0,0,0,0,3.06,0,0,0,0,28.34,0,0,0.77,0,0
120,0,0,0,1.96,3.92,0,7.84,0,0,0,11.76,1.96,0,1.96,1.96,0,0,0,7.84,0,17.64,0,0,3.92,223.42,0,3.92,3.92,0,1.96,0,0,0,0,21.56,0,1.96,0,0,0
