stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1146.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,557.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,15.77,0,13.14,0,2.63,0,39.43,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,286.53,7.89,0,0,118.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,3.15,0,44.06,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,236.02,3.15,0,0,141.61,3.15,0,18.88,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,3,43,309,0,44,0,0,0,6,3,1,1,0,1,0,0,1,0,19,0,0,19,202,3,1,0,6,18,59,3,0,114,71,0,0,1,0,18
 24-34,0,0,0,1.64,11.49,583.63,0,50.07,0.82,1.64,0,1.64,1.64,0,0.82,4.1,2.46,0,0.82,0.82,7.39,27.91,0,0,10.67,196.18,3.28,0,0.82,0,22.16,0,8.21,0.82,9.85,36.94,0,0,2.46,0,78.8
 36-46,0,0,0,0,1.61,159.52,0,49.15,0.81,0,0,5.64,1.61,0,0.81,2.42,0,0,0,0,2.42,18.53,0,0,5.64,111.18,0,0.81,0,0,12.89,0,1.61,1.61,0,22.56,0,0,3.22,0,41.09
 48-58,0,0,0,0,1.72,160.09,0,54.51,0.57,0.57,2.3,15.49,1.15,0.57,0.57,2.3,1.15,0,1.72,0.57,5.74,26.4,0,1.15,8.03,71.15,0,0.57,1.72,0,10.33,0,1.72,0,0,14.92,0,0.57,2.87,0,48.77
 60-70,0,0,0,0,4.91,66.74,0,44.17,0,0.98,0.98,5.89,5.89,0,0.98,5.89,0,2.94,1.96,1.96,0.98,27.48,0,1.96,2.94,66.74,0,0,0,0,10.8,0,2.94,0,0,3.93,0,0,1.96,0,22.58
 72-82,0,0,0.98,0,8.83,188.48,0,33.38,1.96,0,2.94,25.52,11.78,0,0.98,2.94,0.98,1.96,3.93,0.98,5.89,33.38,0,1.96,6.87,63.81,0,0,1.96,0,15.71,0,2.94,0,0,5.89,1.96,0.98,1.96,0,18.65
 84-94,0,0,0,0,14.87,133.82,0,47.79,0,3.19,2.12,12.74,15.93,0,2.12,6.37,5.31,4.25,0,2.12,5.31,28.68,0,2.12,4.25,35.05,2.12,0,1.06,0,52.04,0,5.31,0,0,2.12,0,0,6.37,1.06,13.81
 96-106,0,0,0,0,17.49,227.31,0,42.62,1.09,0,2.19,5.46,10.93,0,2.19,16.39,2.19,3.28,0,0,8.74,33.88,0,2.19,9.84,43.71,1.09,3.28,0,0,56.83,0,7.65,0,0,2.19,2.19,0,8.74,1.09,18.58
108-118,0,0,0.77,0,31.4,191.49,6.89,32.17,1.53,1.53,2.3,14.55,16.85,0,1.53,6.89,0,6.13,3.83,2.3,10.72,38.3,1.53,0.77,9.96,47.49,3.83,0.77,2.3,0,60.51,0,5.36,2.3,0,0,0,0.77,9.96,0.77,16.85
120,0,0,0,0,35.28,243.01,3.92,29.4,3.92,1.96,3.92,9.8,5.88,0,1.96,11.76,0,1.96,1.96,0,3.92,23.52,0,3.92,15.68,60.75,1.96,1.96,1.96,0,21.56,1.96,3.92,0,0,0,0,0,7.84,0,5.88
