stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,glial,immune,ionocyte,liver,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,24.52,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,1.64,9.03,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,6.45,0,3.22,0,0,0,6.45,0.81,0.81
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0.57,0,1.72,0,0,0.57,4.02,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,4.91,0,0,0,3.93,0.98,0
 72-82,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0.98,0,5.89,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,1.06,1.06,1.06,0,0,1.06,0,0,0,16.99,0,0,0,8.5,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,12.02,0,0,0,9.84,0,0
108-118,0,0,0,0.77,0,1.53,0,0,0,0.77,0,0.77,2.3,0,10.72,1.53,0,0.77,6.89,0,0
120,0,0,0,0,0,3.92,0,0,3.92,0,0,1.96,0,0,5.88,0,0,0,3.92,0,0
