stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,66,0,0,0,0,3,14,2,34,2,0,0,2,0,0
 24-34,0,0.82,0,0,0,0,5.75,0,0,0,0.82,0,0,0.82,0,0,0,0,8.21,0,0,10.67,81.26,0,0.82,0,0.82,0,22.98,0,2.46,2.46,0,0,17.24,0,0.82
 36-46,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,24.98,0,0,16.11,104.74,0.81,0,0,1.61,0,10.47,0,0,0.81,0,0,43.51,0,2.42
 48-58,0,0,0,0.57,0,0,11.48,1.15,0.57,0.57,5.16,0.57,0.57,0.57,0,0,1.15,1.15,93.53,1.72,0.57,20.66,98.69,0.57,1.72,0,0.57,0,9.75,0.57,0,5.16,0,0,60.25,0,1.15
 60-70,0.98,0,0,0,0.98,0,19.63,0,0.98,0.98,6.87,0,0,0,0,0,0,0,162.93,3.93,2.94,35.33,68.71,0,0,3.93,0.98,0,13.74,0,0,13.74,0,0,46.13,0,0
 72-82,0,0,0,1.96,0.98,0,50.06,0,3.93,0,34.36,2.94,0.98,1.96,0.98,0.98,0.98,0.98,253.27,1.96,2.94,48.1,70.68,0,0,0.98,3.93,0,15.71,1.96,0,6.87,0,0.98,92.28,2.94,1.96
 84-94,0,1.06,0,2.12,1.06,0,58.41,0,0,0,13.81,2.12,0,5.31,0,0,0,1.06,235.77,0,4.25,30.8,103.02,0,0,4.25,2.12,0,61.6,0,0,6.37,0,0,69.03,0,0
 96-106,0,2.19,1.09,7.65,4.37,0,59.01,4.37,2.19,1.09,18.58,4.37,0,9.84,0,1.09,1.09,3.28,285.23,1.09,5.46,42.62,97.26,2.19,2.19,7.65,9.84,0,41.53,1.09,0,6.56,1.09,0,100.54,1.09,0
108-118,1.53,0,0,4.6,0.77,0.77,30.64,2.3,0.77,0.77,19.92,6.89,0,4.6,0,0,1.53,0.77,259.66,0.77,5.36,37.53,124.09,1.53,2.3,6.89,6.13,0,42.89,1.53,0,3.06,0,1.53,62.04,0,0.77
120,1.96,0,0,11.76,3.92,0,29.4,0,0,3.92,13.72,3.92,0,9.8,0,0,0,0,264.57,0,15.68,56.83,129.35,0,1.96,1.96,5.88,0,35.28,3.92,0,3.92,3.92,0,74.47,0,0
