stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0
 24-34,0,0,0,0.82,11.49,0,0,0.82,0.82,0,0,0,0,0,0,38.58,0,0,0.82,1.64,4.93,0,0.82,0
 36-46,0,0,0.81,0,4.03,0,0,8.06,0,0,0,0.81,0,0,0,65.26,0,0,0,0,11.28,0,0,0
 48-58,0,0,0,0,2.87,0,0,16.07,0.57,0,0,0,1.72,1.15,0,23.53,0,0,0,0,4.02,0.57,0,0
 60-70,0,0.98,0,0,4.91,0.98,0,26.5,0,0,0,0.98,3.93,2.94,0,13.74,0.98,0,0,0,2.94,0,0.98,0
 72-82,0,0.98,3.93,1.96,6.87,0,0,25.52,1.96,0,0,0,5.89,1.96,0.98,25.52,1.96,0,0,3.93,0.98,0,3.93,0.98
 84-94,0,0,6.37,1.06,8.5,0,0,12.74,1.06,0,0,0,4.25,1.06,0,20.18,0,0,2.12,1.06,2.12,2.12,1.06,0
 96-106,0,0,7.65,1.09,8.74,0,0,12.02,1.09,1.09,2.19,1.09,6.56,0,0,30.6,1.09,0,1.09,0,0,0,5.46,0
108-118,0,0,9.96,0,9.19,2.3,0.77,13.02,0.77,0.77,3.06,2.3,3.06,0,0,22.21,0.77,0,0.77,0,0,0.77,2.3,0
120,0,0,17.64,1.96,11.76,1.96,0,17.64,0,0,0,0,0,0,0,25.48,0,0,0,3.92,1.96,0,0,0
