stage,axial,blastomeres,endoderm,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,0,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,7.89,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0.81,0,0.81,0,0,0.81,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.87,0,18.94,0,0.57,0,0.57,1.15,0,0.57,0,0,5.74,0,0.57,0,0,0,0,1.15,0,0.57
 60-70,0,0,0,0,2.94,0,46.13,0,0.98,0,0,2.94,0.98,0.98,0,0,18.65,0,0,2.94,0,0,0,1.96,0,0.98
 72-82,0,0,0,0,17.67,0,65.77,0,0,0,0,6.87,0,0.98,4.91,0,31.41,0,0,7.85,0,0.98,0.98,1.96,0,0.98
 84-94,0,0,0,0,8.5,0,35.05,1.06,0,0,0,3.19,0,2.12,3.19,1.06,12.74,0,0,7.43,0,0,0,2.12,0,3.19
 96-106,0,0,0,0,6.56,0,26.23,0,0,0,0,13.11,0,0,1.09,0,15.3,0,0,9.84,0,0,0,0,0,0
108-118,0,0,0,0.77,5.36,0.77,18.38,1.53,0,0,0.77,9.96,0,0,2.3,0,24.51,0,0,9.19,0,0,0,0.77,0.77,2.3
120,0,0,0,0,15.68,0,45.08,0,0,1.96,0,9.8,0,3.92,1.96,0,56.83,1.96,0,7.84,0,0,0,0,0,1.96
