stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,3,11,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,31,0,1,0,1,2,0,2,4,2,51,0,1,0
 24-34,0,0,0,2.46,0.82,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0,0.82,106.71,0.82,0.82,0,0,4.93,0,0,0,0,164.17,0,3.28,0
 36-46,0,0,0,0,0,4.03,0,0,0,0.81,0,0,0,0.81,0.81,0,0.81,0,3.22,0,0,0.81,134.55,0,1.61,0.81,0,1.61,0,0,0,0,197.39,0,0,0.81
 48-58,0,0,0,2.3,0,11.48,0,0.57,0,5.16,0,0,0,0,0,0,0,0,3.44,0,0.57,0.57,151.48,0.57,0,0,0,0.57,0,0,0,0,137.71,0,0.57,0
 60-70,0,0,0,2.94,0,17.67,0,0.98,0,2.94,0,0.98,0,0,0,0,0,0,3.93,0,0,1.96,192.38,0,0.98,0.98,0,1.96,0,0,0,0,110.91,0,1.96,0.98
 72-82,0,0,0.98,9.82,2.94,28.47,0,0.98,0,6.87,0,0,0,0,0,0.98,0,0,9.82,0,0,0,273.88,0,0.98,0,0,0,0.98,0,0,0,97.18,1.96,0,0.98
 84-94,0,0,1.06,5.31,0,32.92,0,2.12,0,2.12,0,0,0,0,2.12,1.06,0,1.06,4.25,0,1.06,0,172.05,1.06,0,0,0,3.19,0,0,0,0,55.23,5.31,0,0
 96-106,0,0,1.09,8.74,3.28,32.79,1.09,1.09,1.09,9.84,0,0,0,0,1.09,0,0,0,17.49,2.19,0,0,190.16,0,0,1.09,0,5.46,1.09,0,0,0,42.62,16.39,1.09,0
108-118,0,0,0,4.6,1.53,40.6,0,0,0,11.49,0.77,0,0,0,0,0,0,0,7.66,0,0,0.77,186.13,0,1.53,0,0,3.83,0,0,0,0,34.47,29.87,0.77,0
120,0,0,0,5.88,0,66.63,1.96,0,0,25.48,1.96,0,0,1.96,0,1.96,0,0,11.76,0,0,1.96,327.28,0,0,1.96,0,7.84,0,0,0,0,58.79,13.72,1.96,0
