stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,23.66,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,2,0,0,0
 24-34,0,0.82,0,0.82,0,1.64,0,0,0,0,0.82,0,0.82,0,0,278.27,0,1.64,0,0,0,0,33.66,0,0,0
 36-46,0,0,0,0,0,8.06,0,7.25,0,0,0,0,2.42,0,0,727.52,0.81,1.61,0,0,0,0,64.45,0,0.81,0
 48-58,0,0,0,0,0,21.23,0,24.1,0,0,0.57,0.57,1.72,0,0.57,473.96,0.57,0,0,0,0,0,65.99,0,0,0
 60-70,0,0,0,0.98,0,21.59,0.98,20.61,0.98,0,0,0,3.93,0,0.98,250.29,0,0,0,0,0,0,21.59,0,0,0
 72-82,0,0,0,0,0,53.01,0,5.89,0,0,0,0,2.94,0,0,142.34,0,0.98,0,0,0,0,10.8,0.98,0,0
 84-94,0,1.06,0,4.25,0,49.92,0,6.37,0,0,0,0,2.12,0,0,73.28,0,0,0,0,1.06,0,6.37,0,1.06,1.06
 96-106,0,0,0,5.46,2.19,160.65,2.19,3.28,0,0,0,0,0,0,0,42.62,0,0,0,2.19,0,0,3.28,0,0,0
108-118,0,0,0,2.3,0,147.06,0,1.53,0,1.53,0,0,0,0,0,39.06,0,0.77,0,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,158.74,0,0,1.96,0,0,0,0,1.96,0,47.03,1.96,1.96,0,0,0,0,0,0,0,0
