stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,25.18,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,16,14,1,0,0,0,0,15,0,25,263,2,0,0,0,0
 24-34,0,0,4.1,0,0,2.46,0.82,0.82,13.13,0,0.82,0,2.46,0,0,0,0,99.32,0,28.73,30.37,2.46,0,0,0,1.64,0,2.46,36.94,76.34,3.28,0,0,0,0
 36-46,0,0,0,0,0,0.81,3.22,0,17.72,0,0,0,7.25,0,0,0,0,171.61,0,25.78,13.7,2.42,0,0,0,0,0,0,16.11,0.81,0.81,0,0.81,0.81,0
 48-58,0.57,0,2.3,0,0,4.59,2.3,1.72,21.8,0.57,0,0,9.18,0,0,0,0.57,206,1.15,25.82,16.07,0,0,0,0,0,0,0,4.02,0,1.15,0,1.15,0,0
 60-70,0,0,2.94,0,0,3.93,3.93,1.96,37.3,0,0,0,12.76,0.98,0,0,0,191.4,0.98,19.63,9.82,0,0,0,1.96,0,0,0,3.93,0,0,0,3.93,0,0
 72-82,0,0,1.96,0,0,5.89,2.94,0,37.3,2.94,0,0,15.71,0.98,0,0,0,233.64,0,17.67,7.85,0.98,0.98,0,2.94,0,0,0,0,0,1.96,0.98,7.85,0.98,0
 84-94,0,0,9.56,0,0,7.43,3.19,1.06,28.68,1.06,0,0,15.93,0,0,0,0,145.5,2.12,10.62,6.37,0,0,0,1.06,0,0,0,1.06,0,1.06,0,2.12,0,2.12
 96-106,0,0,6.56,1.09,0,5.46,5.46,0,27.32,0,0,0,15.3,2.19,0,1.09,0,107.1,2.19,9.84,8.74,0,1.09,0,4.37,0,0,0,3.28,0,0,1.09,3.28,0,1.09
108-118,0,0,6.89,0,0.77,1.53,8.43,0,20.68,1.53,0,0,12.26,0.77,0.77,0,0,107.23,0,8.43,6.13,0,0.77,0,0,0,0,0,2.3,0,0.77,0,0.77,0,0
120,0,0,25.48,0,1.96,3.92,15.68,0,23.52,0,1.96,0,9.8,0,3.92,0,0,174.42,3.92,5.88,15.68,0,0,0,5.88,0,0,0,0,0,0,0,1.96,0,0
