stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,23,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,4.1,0,0,0,0,1.64,0,0,3.28,0.82,1.64,0.82,0,22.98,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,1.61,0,0,5.64,0,1.61,0.81,0,4.83,2.42,0.81,0,0,0
 48-58,0,5.74,0,0,1.15,0,0,1.15,0.57,0,0,0,3.44,0,0,4.59,0,0,0,0,12.05,0,1.15,0,0,0
 60-70,0,7.85,0,0,0.98,0,0,0,0,0,0,0,9.82,3.93,0,2.94,0,0.98,0,0,8.83,1.96,0,0.98,0,0
 72-82,0,2.94,0,0,0.98,0,0,1.96,0.98,0,0,0,14.72,0,0,1.96,0,0,0,0,2.94,0,0,0,0,0
 84-94,0,4.25,0,0,0,0,0,5.31,2.12,0,1.06,0,27.61,0,0,0,0,2.12,0,0,6.37,5.31,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,1.09,14.21,0,1.09,0,1.09,31.69,5.46,0,2.19,0,1.09,0,0,2.19,2.19,0,0,0,0
108-118,0,1.53,0.77,0.77,1.53,1.53,0.77,19.92,0,0,0,4.6,22.21,3.06,0,5.36,0,0.77,0,0,7.66,6.13,0,0,0,0
120,0,0,0,0,1.96,0,0,5.88,0,0,0,1.96,3.92,1.96,0,1.96,3.92,0,0,0,3.92,1.96,0,0,1.96,0
