stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,10.51,0,65.72,2.63,0,5.26,0,0,0,0
 10-12,0,3.15,6.29,0,3.15,9.44,0,84.97,3.15,0,25.18,0,12.59,0,0
 14-21,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,1.61,0,0,0,0.81,0,0,0.81
 48-58,0,0,0,0,0,1.15,0,1.15,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,1.96,3.93,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0.77,0,0,0.77,0,0,0,0,0
