stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,2,0,1,10,0,1,0,2,2,1,1,4,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,2.46,15.6,0,4.93,0,0,0,23.8,0.82,1.64,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0.81,0,0.81,0.81,0,0,0.81,0,0.81,0,0,13.7,0,4.03,0,0,0,15.31,0,3.22,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,4.02,0,0,0.57,0,0,0,1.15,0,0.57,0,0,5.74,0,6.31,0,0,0,14.35,0,0.57,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,5.89,0,0,0.98,5.89,0.98,0,0.98,0,2.94,0,0,12.76,0,6.87,0,0,0,16.69,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0,4.91,0.98,0.98,3.93,36.32,0,0,3.93,0,6.87,0.98,0,12.76,0,17.67,0,0,0,39.27,0,0,0,0.98,2.94,0
 84-94,0,0,0,0,2.12,0,0,3.19,0,2.12,2.12,52.04,0,0,3.19,0,1.06,0,0,3.19,0,25.49,0,0,0,88.15,0,0,0,0,2.12,0
 96-106,0,0,2.19,0,1.09,0,0,5.46,0,0,2.19,118.03,2.19,0,3.28,0,4.37,0,3.28,21.86,0,30.6,0,0,0,73.22,0,1.09,0,1.09,1.09,0
108-118,0,0,1.53,0,1.53,0.77,0.77,5.36,0.77,0,0.77,99.58,2.3,0.77,3.06,0,6.13,0,0,18.38,0.77,22.21,0,1.53,0,71.23,0,0,0.77,0,0.77,0.77
120,0,0,1.96,0,1.96,0,0,3.92,0,0,1.96,109.75,3.92,0,11.76,3.92,0,0,0,21.56,0,15.68,0,1.96,0,37.24,0,0,0,0,1.96,0
