stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,12.26,30.65,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,23.66,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,16,1,0,0,0,0,4,0,6,5,0,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,0.82,12.31,0,0,2.46,42.68,0,0.82,0,0,0.82,0,0,0,15.6,0,4.1,0
 36-46,0,0,0,0,0,0,6.45,0,1.61,1.61,0,0,0,0,0,0,0,0,47.53,0,0,3.22,99.9,0,0,0,0,5.64,0,0,0,18.53,0,0,0
 48-58,0,0,0,0,0,0,13.2,0,3.44,4.02,0,0,0,0,0,0,0,0,118.78,0,0.57,15.49,71.15,0,0,0,0,0,0,0,0,12.62,0,0,0
 60-70,0,0,0,0,0.98,0,14.72,0,6.87,5.89,0,0,0.98,0,0,0,0,0,133.49,0.98,0,15.7,90.3,0,0,1.96,0,3.93,0,0,0,4.91,0,0,0
 72-82,0,0,0.98,0,1.96,0,17.67,0,14.72,0.98,0,0,0,0.98,0,0,0,0,207.13,0,0.98,18.65,41.23,0.98,0,0,0,2.94,0,0,0,2.94,0.98,0.98,0.98
 84-94,0,0,0,0,2.12,0,12.74,1.06,11.68,3.19,1.06,0,0,1.06,0,0,0,0,142.31,0,0,12.74,23.36,0,0,0,0,4.25,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,1.09,0,7.65,0,3.28,1.09,1.09,0,0,2.19,0,0,0,0,128.96,0,0,9.84,28.41,0,0,2.19,0,7.65,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0,0.77,0,7.66,0,12.26,3.06,0,0,0,0,1.53,0.77,0.77,0,98.81,0,0,6.13,23.74,0,0.77,0,0,4.6,0,0.77,0,0.77,0,0,0
120,0,0,0,0,1.96,1.96,5.88,0,7.84,1.96,0,0,0,0,1.96,0,0,0,66.63,0,0,11.76,23.52,0,0,0,0,1.96,0,0,0,1.96,1.96,0,0
