stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,355.8,5930.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.63,0,0,0,0,0,0,0,0,0
  5-6,790.72,8164.67,0,24.52,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,257.44,18.39,0,0,85.81,159.37,0,0,0,0,0,0,0,0,0
  7-9,120.92,212.93,0,375.91,0,2.63,0,804.39,0,0,0,0,0,294.42,0,0,0,0,0,0,0,0,0,0,0,7163.24,181.38,0,0,2697.06,21.03,42.06,0,0,0,0,0,0,0,0
 10-12,0,217.14,0,210.85,0,34.62,0,560.16,0,0,0,0,0,62.94,0,0,0,0,0,0,0,0,0,0,0,4371.14,75.53,0,0,1781.18,6.29,25.18,9.44,135.32,0,6.29,0,0,0,0
 14-21,0,0,1,6,57,19,0,51,0,0,0,19,1,0,1,0,1,0,0,0,0,36,0,0,24,717,19,4,4,10,7,0,62,2,41,197,0,2,0,0
 24-34,0,0,0,4.1,41.86,22.16,0,329.98,0,0,0.82,36.94,0.82,0,2.46,0.82,0,0.82,1.64,1.64,0.82,183.87,0.82,1.64,54.18,1942.97,2.46,11.49,16.42,0,22.16,0,0.82,2.46,16.42,428.49,0,12.31,0,2.46
 36-46,0,0,0,0,25.78,20.95,0,983.72,0,0,0,31.42,0.81,0,0,2.42,0,4.03,2.42,3.22,0.81,174.83,0,5.64,49.95,1571.06,0.81,9.67,8.06,0,13.7,0,0.81,0.81,0,354.49,0,12.09,0,1.61
 48-58,0,0,0,0.57,18.36,10.33,0,902.6,1.15,1.72,1.15,39.59,1.15,0,1.72,1.72,0.57,3.44,0.57,0.57,0.57,164.68,0,8.03,30.41,552.57,0,2.3,8.03,0,2.87,0,0,0,0,88.94,0,7.46,0,1.72
 60-70,0.98,0,0,0,46.13,3.93,0,785.22,0,0.98,0,53,8.83,0,1.96,2.94,0,1.96,3.93,0,0,153.12,0,14.72,32.39,393.59,0,2.94,2.94,0,6.87,0,0,0,0,22.58,0,9.82,0,1.96
 72-82,0,0,0,0,9.82,0,0,212.04,0,0,1.96,37.3,2.94,0,0,1.96,1.96,0.98,0,0.98,0,102.09,0,1.96,22.58,192.41,0,1.96,4.91,0,0.98,0,0,0.98,0,3.93,0.98,6.87,0,0
 84-94,0,0,0,0,27.61,4.25,1.06,229.4,0,0,1.06,37.17,11.68,0,0,5.31,1.06,1.06,2.12,0,0,113.64,0,12.74,27.61,206.04,1.06,1.06,2.12,0,2.12,0,0,1.06,0,4.25,2.12,10.62,0,1.06
 96-106,0,0,0,0,16.39,4.37,0,106.01,0,0,1.09,33.88,6.56,0,2.19,3.28,1.09,1.09,1.09,0,0,52.46,0,2.19,13.11,124.58,0,3.28,2.19,0,2.19,0,0,1.09,0,1.09,2.19,12.02,1.09,0
108-118,0,0,0,0,13.02,9.96,0,104.17,0,0,0.77,23.74,3.83,0,0,8.43,0.77,0.77,0.77,0.77,0,21.45,0,3.06,19.15,125.62,0.77,1.53,1.53,0,0.77,0,0,0,0,1.53,0.77,9.19,0,0.77
120,0,0,0,0,9.8,13.72,0,121.51,0,0,0,27.44,0,0,1.96,5.88,1.96,0,0,3.92,0,25.48,0,1.96,15.68,162.66,0,1.96,1.96,0,1.96,0,0,0,0,0,0,7.84,0,0
