stage,blastomeres,epidermis,exocrine.pancreas,eye,glial,heart,mesenchyme,neural,notochord,otic,pericytes,periderm,pgc,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0.82,0,0,0,0,0,0,0,0.82
 36-46,0,0.81,0,0,0,0,0.81,4.83,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0.57,0,0,1.15,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,2.94,0.98,0.98,0.98,0,0,0,0.98,0,0,0,0,0
 72-82,0,0.98,0,1.96,0,0,1.96,4.91,0,0,0,0,0,0,0,0,0.98
 84-94,0,1.06,0,0,0,0,1.06,3.19,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,1.09,0,1.09,0,1.09,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0,1.53,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,7.84,0,0,1.96,0,0,0,0,0,0
