stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0
  5-6,0,521.02,6.13,0,0,0,0,0,18.39,0,0,0,0,0,0,85.81,0,0,30.65,6.13,0,0,0,0,0,0
  7-9,13.14,7.89,18.4,0,0,18.4,0,0,5.26,0,0,0,0,0,0,354.88,13.14,0,173.5,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,434.28,12.59,0,129.03,0,3.15,15.73,0,3.15,0,0
 14-21,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,1,4,0,1,3,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,19.7,0,0.82,0,3.28,0,0,0.82,4.93,0.82,0.82
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,13.7,0,0.81,0,1.61,0,0,0,4.03,0,0.81
 48-58,0,0,0,0,0,3.44,0,1.15,0,0,0,0,0.57,3.44,0,12.05,0,1.15,0,0,0,0,0,1.15,0,1.15
 60-70,0,0,0,0,0,3.93,0,0,0,0,0,0.98,0,2.94,0,10.8,0,0.98,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,3.93,0,0.98,0.98,0,0,0,0,3.93,0,4.91,0,0.98,0,0.98,0,0,0,2.94,1.96,0
 84-94,0,0,0,0,0,2.12,1.06,1.06,0,0,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,1.06,0,1.06
 96-106,0,0,0,1.09,1.09,2.19,0,0,0,1.09,0,0,0,1.09,1.09,3.28,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,0,0,0,0,0,0.77,1.53,0,0.77,0,3.06,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0
