stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1159.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,36.78,551.67,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,0,23.66,0,0,0,76.23,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,202.41,10.51,0,0,110.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,6.29,0,0,0,75.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.75,3.15,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,209,3,0,13,0,0,0,0,0,9,0,0,2,0,0,0,0,2,0,0,1,53,1,3,0,0,0,18,0,1,1,4,0,0,0,0,0
 24-34,0,0,0.82,0,23.8,0,0,13.95,0,0,0,0.82,0,9.03,0,0,0.82,0,0,0,0,0.82,0,0,0,19.7,0,11.49,0.82,0,0,9.85,0,0.82,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,5.64,0,0,80.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,0,7.25,0,0,0,8.06,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,4.59,0,0,465.36,0,0,0,2.3,0,0.57,0,0,0.57,0,0.57,0.57,0,4.59,0,0,0.57,32.71,0,1.72,0,0,0,9.75,0,0,0,3.44,0,0,1.15,0,0
 60-70,0,0,0,0,7.85,0,0,1163.1,0,2.94,0,6.87,0,0,0,0,0.98,1.96,0,0,0.98,6.87,0.98,0,0.98,53,0,0,0,0,0,6.87,0,0,0,3.93,0,0,0,0,0
 72-82,0,0,0,0,18.65,2.94,0,1396.9,1.96,1.96,2.94,15.71,1.96,0,0,0,0,0.98,0,0.98,0,25.52,0,1.96,2.94,83.44,0,0.98,2.94,0,0,7.85,0,0,0,7.85,0,0,1.96,0,0.98
 84-94,0,0,1.06,0,29.74,3.19,0,1507.03,2.12,8.5,1.06,6.37,0,0,0,0,0,1.06,1.06,0,0,22.3,0,1.06,4.25,44.61,1.06,1.06,0,0,0,24.43,0,0,0,1.06,2.12,1.06,1.06,2.12,1.06
 96-106,0,0,0,0,10.93,5.46,1.09,1049.13,4.37,3.28,0,7.65,2.19,0,1.09,5.46,2.19,0,2.19,1.09,0,20.76,2.19,0,1.09,54.64,0,0,0,0,0,31.69,0,1.09,0,2.19,0,0,4.37,0,1.09
108-118,0,0,0.77,0,9.19,0.77,0,720.01,1.53,3.06,0,9.19,1.53,0,0,0.77,3.06,0.77,0,0.77,0,12.26,0,0,2.3,49.79,0.77,0.77,1.53,0,0.77,18.38,0,0,0,0,1.53,0.77,3.83,0,0.77
120,0,0,1.96,0,19.6,0,0,664.37,1.96,7.84,1.96,0,1.96,0,0,5.88,0,0,0,0,0,11.76,1.96,0,1.96,37.24,1.96,1.96,1.96,0,0,15.68,3.92,0,0,1.96,1.96,0,0,1.96,1.96
