stage,epidermis,eye,fast_muscle,fin_epithelia,glial,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
 24-34,12.31,0.82,0,0,0,0,0,0,0,0,0.82,3.28,0,29.55,0,0,0,0
 36-46,12.09,0,0.81,0.81,0,0,0,0.81,0,0,0,2.42,0,40.28,0,0.81,0,0
 48-58,13.2,1.15,0,0,1.15,0,0,0,0.57,0.57,0,5.16,0,43.61,0,2.87,0.57,0
 60-70,17.67,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0.98,27.48,0,1.96,0,0
 72-82,29.45,0,0,0,0.98,0,0,0,0.98,0,0,6.87,0,33.38,0,0,0,0
 84-94,90.27,2.12,0,1.06,0,3.19,1.06,0,0,3.19,0,2.12,0,183.73,2.12,1.06,0,1.06
 96-106,31.69,3.28,0,0,0,0,1.09,0,0,0,0,2.19,0,40.44,0,0,0,0
108-118,66.64,0,0,3.83,0,3.83,0,0,0,3.06,0,1.53,0,126.38,0.77,0.77,0,0
120,74.47,1.96,0,3.92,0,1.96,0,0,0,3.92,0,3.92,0,94.07,0,0,0,0
