stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,24,0,0,3,0,0,0,0,3,0,0,1,0,0,0,8,0,0,6,21,0,1,1,1,0,1,1,1,1,14,0,0,0,0,0
 24-34,0,0,0,0.82,9.03,0,0,4.93,0.82,0,0.82,1.64,0,0,0,1.64,0,0,0.82,4.93,0.82,0,3.28,21.34,0,0.82,0,0,0,5.75,0,0.82,0,10.67,0,0,2.46,0,0.82
 36-46,0,0,0,0.81,0,0,0,4.83,0,1.61,3.22,0,0,0,0,0,0.81,0,0,18.53,0.81,0.81,1.61,31.42,0,0.81,0.81,0,0,4.83,0,0,0,11.28,0,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,0,3.44,0.57,0,2.87,0,0,0.57,0.57,0.57,0,0,0,11.48,0.57,0,0.57,10.9,0,0.57,0,0,0,2.87,0,0,0,4.02,0,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,0,0,1.96,0,0,2.94,0,0,0,0,0,0,0,0,14.72,0,0,1.96,4.91,0,0,0,0,0,0.98,0,0,0,1.96,0,0,1.96,0,0
 72-82,0,0,0.98,0,0,0,0,0.98,1.96,0.98,10.8,2.94,0,0,0,1.96,0,0.98,0,39.27,0,0,6.87,9.82,0,1.96,0.98,0,0,2.94,0,1.96,0,0,0,1.96,3.93,0,0
 84-94,0,0,1.06,0,1.06,1.06,0,3.19,2.12,0,4.25,4.25,0,0,3.19,0,0,2.12,0,29.74,0,2.12,5.31,5.31,0,3.19,2.12,0,0,9.56,0,0,0,1.06,1.06,0,7.43,0,1.06
 96-106,0,0,1.09,0,5.46,1.09,1.09,3.28,1.09,0,5.46,8.74,0,0,1.09,2.19,0,3.28,0,20.76,0,0,0,10.93,0,4.37,6.56,0,0,4.37,0,3.28,0,2.19,1.09,2.19,6.56,0,1.09
108-118,0,0,0.77,0,6.13,0,0,5.36,5.36,0.77,9.19,6.89,0,0.77,0.77,1.53,0.77,9.19,0,16.09,0,0,1.53,11.49,0,0,4.6,0,0,3.06,0,2.3,0,1.53,1.53,0.77,4.6,0.77,0.77
120,0,0,0,0,11.76,0,0,1.96,1.96,0,5.88,3.92,0,1.96,5.88,1.96,0,7.84,0,23.52,0,0,1.96,9.8,0,0,0,0,1.96,11.76,0,1.96,0,3.92,0,0,5.88,0,0
