stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,12.59,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,16,35,219,0,1,3,0,1,24,0,457,974,19,0,0,0,0,1
 24-34,0.82,6.57,0.82,0,26.27,227.38,0.82,1.64,6.57,0,0,0.82,0,1.64,0.82,0.82,1.64,2.46,16.42,1.64,0,60.74,212.6,54.18,1.64,0.82,0,0,17.24,0.82,0.82,265.14,499.9,41.04,0,0,8.21,0,1.64
 36-46,0,3.22,0,0,27.39,466.48,0,0.81,2.42,1.61,0,0,0.81,0,0,0,0.81,0,16.11,0.81,0,33.84,146.63,37.06,3.22,0.81,0,0,8.86,0,0,205.45,33.03,34.64,0,0,6.45,0,0.81
 48-58,0,2.3,0,0,63.69,460.77,0.57,1.15,11.48,0,0,0.57,0,0,0,0,0,0,28.12,0,1.72,41.31,163.53,12.62,2.3,2.87,0,0,4.59,0,0.57,170.42,0,26.4,0,0,0,0,4.59
 60-70,0,3.93,0.98,0,39.26,357.27,0,1.96,7.85,0,0,0,1.96,0,0.98,0,0.98,0,15.7,0.98,0,48.09,84.41,6.87,0.98,0,0.98,0,3.93,0,0,108.95,0,6.87,0,0,0.98,0,1.96
 72-82,0,2.94,2.94,0,43.19,261.12,0.98,0,9.82,0.98,0.98,0.98,0.98,0,0,2.94,0,0.98,24.54,0,0,67.73,80.5,2.94,0.98,1.96,0.98,0,5.89,0,0,65.77,0,4.91,0,0,0.98,1.96,5.89
 84-94,0,10.62,4.25,0,38.23,411.01,2.12,0,5.31,2.12,0,3.19,0,3.19,0,1.06,1.06,0,21.24,0,3.19,69.03,59.47,0,1.06,0,0,1.06,10.62,0,0,120.01,0,5.31,2.12,3.19,4.25,1.06,1.06
 96-106,0,5.46,16.39,0,48.09,649.15,6.56,2.19,18.58,2.19,0,5.46,4.37,1.09,1.09,3.28,5.46,0,36.06,1.09,1.09,102.73,87.43,5.46,2.19,1.09,2.19,2.19,16.39,0,0,125.68,0,1.09,0,1.09,4.37,2.19,6.56
108-118,0,8.43,3.06,0.77,29.87,492.51,0.77,0.77,13.79,0.77,0,3.06,3.83,0.77,1.53,2.3,6.89,0.77,29.11,1.53,0.77,119.49,55.92,10.72,0,0.77,0,0,5.36,0,0.77,108.77,0,1.53,1.53,0,2.3,2.3,0
120,0,5.88,5.88,0,29.4,278.29,1.96,0,9.8,0,0,0,0,3.92,0,0,0,0,21.56,0,0,125.43,54.87,15.68,1.96,0,0,1.96,7.84,0,0,37.24,0,0,0,0,1.96,1.96,0
