stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,8,71,13,0,43,0,0,0,23,7,1,0,0,0,0,0,0,1,43,0,0,41,866,16,3,9,13,0,0,3,55,3,2,60,274,0,0,2,0,1
 24-34,0.82,1.64,2.46,26.27,2.46,0,148.57,0,0,2.46,19.7,2.46,0,1.64,0.82,3.28,3.28,0.82,1.64,3.28,98.5,0,0.82,29.55,1249.34,4.1,12.31,11.49,0,0,4.93,0,0,0,0,9.85,316.85,0,0,9.03,0,6.57
 36-46,0,0,0,12.09,0,0,211.89,0.81,0.81,2.42,24.98,1.61,0,0,0.81,0.81,2.42,1.61,2.42,0,73.32,0,0,16.11,1069.93,3.22,8.06,4.83,0,0,4.83,0.81,0,0.81,0,0,224.78,0,0,1.61,0,2.42
 48-58,0,0,0,6.31,0.57,0,351.74,0,0.57,1.15,72.87,1.15,0,0.57,0,0.57,1.15,1.72,2.87,0.57,119.35,1.15,1.72,14.92,998.99,0.57,6.31,4.59,0,0,2.87,0,0,0.57,0,0,176.73,0,0.57,4.02,0,1.72
 60-70,0,0.98,0,4.91,0,0,567.32,0.98,1.96,3.93,106,1.96,0,0,0.98,0,2.94,0,1.96,0,106,0,3.93,7.85,1214.14,0,6.87,1.96,0,0.98,0.98,0,0,1.96,0,0,147.23,0.98,3.93,5.89,0.98,0
 72-82,0,1.96,0,8.83,3.93,0,470.22,0,0.98,1.96,80.5,7.85,0,0.98,1.96,1.96,0.98,0,0,0.98,116.82,0.98,4.91,18.65,890.37,1.96,10.8,3.93,0,0.98,1.96,0,0,0,0,0,46.14,3.93,3.93,3.93,0.98,0.98
 84-94,0,3.19,0,15.93,0,1.06,272.94,1.06,2.12,2.12,55.23,8.5,0,1.06,3.19,2.12,3.19,1.06,1.06,0,67.97,0,4.25,11.68,407.82,0,6.37,4.25,0,2.12,1.06,0,0,1.06,0,0,29.74,1.06,2.12,5.31,1.06,0
 96-106,0,1.09,0,4.37,0,1.09,159.56,0,0,2.19,50.27,2.19,0,2.19,5.46,4.37,2.19,3.28,1.09,0,43.71,0,4.37,4.37,283.05,1.09,13.11,4.37,0,0,3.28,0,0,2.19,0,0,7.65,0,2.19,12.02,2.19,2.19
108-118,0,0.77,0,8.43,3.83,0.77,136.34,0,0,0.77,39.06,2.3,0,0.77,3.06,2.3,0.77,1.53,1.53,0,46.72,0,0.77,4.6,388.34,0.77,3.83,3.83,0,0.77,2.3,0,0,0.77,0,0,12.26,0,0.77,6.89,0,0
120,0,0,0,1.96,5.88,0,131.31,1.96,0,1.96,43.12,3.92,0,0,5.88,0,1.96,5.88,0,0,35.28,0,0,13.72,411.55,1.96,5.88,1.96,0,0,0,1.96,0,0,0,0,5.88,1.96,1.96,3.92,1.96,0
