stage,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,heart,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0,0.82,0.82,21.34,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,11.28,0,0.81,0,0,0.81
 48-58,0,0,0,0,0,0,0.57,0,0,0,0.57,0.57,0,4.59,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0,4.91,0,0,0,0,0
 72-82,0,0,0,0,3.93,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0
 84-94,0,1.06,1.06,0,1.06,0,0,0,0,0,0,1.06,0,3.19,0,0,0,1.06,0
 96-106,0,0,0,0,2.19,0,0,1.09,0,1.09,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,0,2.3,0.77,0,0,0,0,0,0,0,2.3,0,0,0.77,0,0
120,1.96,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0
