stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,2,3,14,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,185.51,0,0,0,0.82,0,0,45.97,0,0,0,0,0
 36-46,0,0,0,0.81,0,36.26,0,0,0,2.42,0,0,0,0,0,0,0.81,0.81,0,0,580.08,0.81,0.81,0,0,0,0,114.41,0,0,0,0,0
 48-58,0,0,0,2.3,0,208.86,0.57,0,1.15,4.59,0,0,0,0,0,0.57,8.03,0,0,0,701.19,0,0,0.57,1.15,0.57,0,125.09,0,0,0,0.57,0.57
 60-70,0,0,0,2.94,0,760.68,0.98,0,0,14.72,0,1.96,0,0,0,0,11.78,0,2.94,0,911.83,0,0,0,1.96,0,0,181.58,0,0.98,0.98,8.83,0
 72-82,0,0.98,0,4.91,0,1090.63,0,0.98,0.98,23.56,0,0,0.98,0,0.98,0,20.61,0,1.96,0.98,755.88,0,0.98,1.96,1.96,0,0,103.07,0,5.89,0.98,14.72,0.98
 84-94,0,0,1.06,4.25,1.06,783.78,0,0,2.12,22.3,2.12,0,1.06,1.06,0,0,20.18,0,2.12,1.06,385.52,2.12,0,0,1.06,0,0,59.47,0,5.31,2.12,16.99,0
 96-106,0,1.09,0,10.93,3.28,673.19,0,0,1.09,24.04,0,0,0,0,0,1.09,17.49,2.19,2.19,1.09,298.35,0,0,3.28,2.19,0,0,20.76,1.09,2.19,1.09,18.58,0
108-118,0,0,0,5.36,0,471.83,0,0,0,28.34,1.53,0,0.77,0.77,0.77,0.77,14.55,0,0.77,1.53,342.39,0.77,0,0.77,1.53,0,0,15.32,0.77,1.53,0.77,6.89,0
120,0,0,0,1.96,1.96,437.03,0,0,0,27.44,1.96,0,1.96,0,0,1.96,11.76,0,0,1.96,321.4,1.96,0,3.92,5.88,0,0,27.44,0,0,0,3.92,0
