stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,10.51,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,37.76,0,0,0,12.59,9.44,3.15,0,0,0,0,0
 14-21,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,25,0,1,2,3,0,0
 24-34,0,0,0.82,0.82,2.46,0,0,0,0,0,0.82,0.82,0,0,4.1,13.13,0,0,0,0,54.18,0,0,0.82,6.57,0.82,0
 36-46,0,0,0,0,3.22,0,0,0.81,0,0.81,0.81,1.61,0.81,0,0,7.25,0,0,0,0,41.89,0,0,0,3.22,0.81,0
 48-58,0,0,0,0,2.87,0,0.57,1.15,0,0.57,0,1.72,0,0,0,3.44,0.57,0,0.57,0,19.51,0,0,0,1.15,0.57,0
 60-70,0,0,1.96,0,5.89,1.96,0,3.93,0,0,0,4.91,0,0,0.98,6.87,0,0,0.98,0,19.63,0,0,0,0,0.98,0
 72-82,0,0,0,0,11.78,0,0.98,1.96,0,0,0.98,5.89,0,0.98,0.98,4.91,0,0.98,0,0,10.8,0,0,0,0,2.94,1.96
 84-94,0,0,0,0,3.19,1.06,0,1.06,2.12,0,0,6.37,0,0,0,7.43,0,0,0,0,36.11,0,0,0,0,0,0
 96-106,0,0,2.19,0,14.21,1.09,1.09,0,0,0,1.09,2.19,0,0,0,8.74,0,0,1.09,0,26.23,0,0,0,0,0,0
108-118,0,0,1.53,0,11.49,0,0,3.06,0.77,0,3.83,2.3,0,0.77,0.77,9.19,0,0.77,0.77,0,24.51,0,0,0,0.77,1.53,0
120,0,0,9.8,0,3.92,5.88,0,0,3.92,0,1.96,0,0,1.96,1.96,9.8,0,0,0,0,29.4,0,0,0,0,1.96,0
