stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,17.24,0,0,0,0,0,0,0,19.7,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,20.95,0,0,0,0,0,0,0,28.2,0,0,0,0
 48-58,0,0,0,0.57,0.57,1.72,0,0,1.15,0,0,0,0,0,4.02,0,0,0,36.15,0,0,0.57,0,0,0,0,33.28,0,0,0,0
 60-70,0,0,0,0.98,0,82.45,0,0.98,0.98,0,0,0,0,0,2.94,0,0,0.98,102.08,0,0,0.98,0,0,0,0,54.97,0,0.98,0,0.98
 72-82,0,0,0,4.91,0.98,434.88,0.98,1.96,18.65,0.98,0.98,0.98,1.96,0.98,3.93,0,0,1.96,226.76,0,0,0.98,0,0.98,0,0,31.41,0,0.98,0.98,1.96
 84-94,0,0,0,3.19,2.12,259.14,0,0,20.18,0,0,0,0,2.12,12.74,1.06,1.06,0,116.82,0,0,4.25,0,0,0,0,24.43,1.06,0,0,0
 96-106,0,0,1.09,6.56,0,284.14,1.09,0,21.86,1.09,2.19,2.19,0,0,4.37,0,0,0,131.14,1.09,2.19,6.56,0,0,0,0,13.11,0,1.09,0,1.09
108-118,0,0,0,3.06,0,179.24,1.53,0,9.19,0,0.77,0,0.77,1.53,9.96,0,0,2.3,144.77,0,0,1.53,0,0,0,0,10.72,0.77,0,0,0
120,0,0,0,1.96,0,127.39,1.96,0,13.72,0,3.92,0,0,0,7.84,0,0,0,201.86,0,0,5.88,0,0,0,1.96,9.8,0,1.96,0,0
