stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,5.26,2.63,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,22.03,3.15,0,0
 24-34,0,0,0,1.64,0.82,0,0,0,0,0.82,3.28,0,0.82,1.64
 36-46,0,0,0,1.61,0,0,0,0,0,0,7.25,0,0,0.81
 48-58,0,0,0,2.87,0,0,0,0,0,0,9.18,0,0,1.72
 60-70,0,0,0,0.98,0,2.94,0,0,0.98,0,9.82,0,0,0
 72-82,0,0,0,0.98,0,2.94,0,0,2.94,0,6.87,0,0.98,0
 84-94,0,0,0,2.12,0,3.19,0,1.06,0,0,4.25,0,1.06,1.06
 96-106,0,0,0,4.37,0,0,1.09,0,1.09,0,4.37,0,0,1.09
108-118,0,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0
120,0,0,1.96,1.96,0,0,0,0,3.92,0,1.96,0,0,1.96
