stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,1,2,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,1.64,0,0.82,9.85,0,0.82,0,0,1.64,0,0,0,2.46,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0.81,8.06,0,0,0,0,0.81,0,0,0,2.42,0
 48-58,0,0,0,1.15,0.57,0,0,0,0,0,1.15,0,0,2.87,0,0,0,0,1.15,0,0.57,0,0.57,0
 60-70,0,1.96,0,2.94,0.98,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0.98,0,0,0,0.98,0
 72-82,0,0,0.98,0,0,0,0.98,0.98,0,0,0,0,0.98,5.89,0,0,0,0,3.93,0,0,0,0.98,0
 84-94,0,1.06,0,2.12,0,1.06,0,0,0,0,0,2.12,0,1.06,0,0,0,0,4.25,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,2.19,0,0,0,0,4.37,0,0,0,0,12.02,0,0,0,0,0
108-118,0,0.77,0,0,0,0,0,0,1.53,0,0,0,0,2.3,0,0,0,0,3.06,0,0,0,0,0
120,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,3.92,0,0,0,0,1.96
