stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,2.63,0,23.66,0,0,5.26,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,44.69,15.77,0,0,63.09,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,44.06,18.88,0,0,25.18,0,3.15,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,18,4,0,0,0,1,1,0,2,0,0,0,0,0,0,3,0,0,3,15,4,0,0,0,0,3,0,12,0,1,7,12,0,0,0,0,1
 24-34,0,0,0,0,7.39,0,1.64,2.46,0,2.46,0.82,0,0.82,0,1.64,0,0.82,0,0,4.1,2.46,0.82,5.75,32.01,0.82,4.1,1.64,0,0,4.93,0,0,2.46,0,0,12.31,0,0,5.75,0,0.82
 36-46,0,0,0,0,1.61,0,4.03,0.81,0,1.61,0,0,0,0,1.61,0,0,0,4.03,10.47,1.61,0,4.83,44.31,0,2.42,0,0,0,5.64,0,0,0.81,0,0,18.53,0,0,7.25,0,4.03
 48-58,0,0,0,0,2.87,0,5.16,1.15,2.87,5.16,0,0,0,0,0,0,0,0,2.87,15.49,3.44,0,1.15,52.22,0,0,0,0,0,2.3,0,0,0,0,0,14.92,0,0,1.72,0,1.15
 60-70,0,0,0,0,0.98,0,19.63,3.93,0,12.76,0,0.98,0.98,0,0,0,0.98,0,0.98,28.46,0.98,1.96,1.96,73.61,0,1.96,0,0,0.98,2.94,0,0,0,0,0,13.74,0,0.98,3.93,0,1.96
 72-82,0,0,0,0,1.96,0,24.54,0.98,3.93,9.82,0,0,0.98,2.94,0,0,0.98,0,0.98,31.41,6.87,1.96,1.96,77.55,0,2.94,1.96,0,0.98,1.96,0,0,0,0,0,4.91,1.96,0,7.85,0.98,2.94
 84-94,0,0,0,0,6.37,0,22.3,1.06,2.12,13.81,1.06,1.06,0,0,2.12,5.31,1.06,0,6.37,27.61,7.43,1.06,2.12,40.36,1.06,4.25,4.25,0,0,13.81,0,0,2.12,0,0,5.31,4.25,1.06,7.43,1.06,0
 96-106,0,0,0,0,1.09,0,15.3,3.28,1.09,4.37,1.09,0,1.09,0,2.19,0,2.19,1.09,4.37,10.93,3.28,2.19,1.09,29.51,0,2.19,5.46,0,0,13.11,0,0,0,0,0,2.19,6.56,0,5.46,0,2.19
108-118,0,0,1.53,0,6.13,0,14.55,3.06,0.77,6.89,1.53,0,0,2.3,2.3,2.3,1.53,0,9.96,13.79,3.06,1.53,0,39.83,0,3.06,3.06,0,0.77,3.83,0,0,0,0,0,1.53,7.66,0.77,2.3,0.77,0.77
120,0,0,0,0,1.96,0,15.68,5.88,0,3.92,1.96,0,0,0,0,0,1.96,0,1.96,5.88,0,0,1.96,45.08,0,3.92,3.92,0,0,11.76,0,0,0,0,0,9.8,7.84,0,0,0,0
