stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,10.51,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,131.44,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,9.44,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.44,0,0,0,78.67,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,2,6,4,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,5,25,3,0,0,1,0,0,7,0,11,7,0,0,0,0
 24-34,0,0,0.82,0,0.82,0.82,0,8.21,0,0,0,0,0,0,9.85,0.82,2.46,0,0,0.82,0.82,4.1,0,0,4.1,25.45,0,0,0,0,0,0.82,0,0.82,2.46,7.39,0,0,13.95,3.28
 36-46,0,0,0,0,0.81,0,0,2.42,0,0,0,0.81,0,0,11.28,0,0,0,0,0,0,2.42,0,0,1.61,11.28,0,0,0,0,0,0,0,0,0,4.83,0,0,11.28,3.22
 48-58,0,0,0,0,0,0,0,8.03,0,0,0,1.15,0.57,0,18.36,0.57,0,0,0,0,0.57,3.44,0,0.57,1.15,8.03,0,0,0,0,0,0.57,0,0,0,2.87,0,0,12.05,0.57
 60-70,0,0,2.94,0,0,0,0,4.91,0.98,0,0,5.89,1.96,0,10.8,0.98,0,0,0,1.96,0,2.94,0,0,0,9.82,0,0,0,0,0,0.98,0,0.98,0,2.94,0,0,20.61,0.98
 72-82,0,0,10.8,0,0,0.98,0,5.89,0,0,0.98,3.93,6.87,0,21.6,0.98,0,0,0,1.96,0,6.87,0,0,0,7.85,0,0,0,0,0,1.96,0,0,0,1.96,0,0.98,19.63,0
 84-94,0,0,9.56,0,0,0,0,5.31,0,0,0,0,15.93,0,15.93,1.06,0,1.06,0,0,1.06,5.31,1.06,0,3.19,6.37,1.06,0,0,0,1.06,1.06,0,1.06,0,1.06,0,0,15.93,1.06
 96-106,0,0,19.67,2.19,6.56,3.28,1.09,16.39,0,4.37,1.09,3.28,75.41,0,30.6,4.37,1.09,0,1.09,0,0,12.02,0,0,0,15.3,0,0,3.28,0,2.19,12.02,0,0,0,0,1.09,1.09,17.49,0
108-118,0,0,13.02,0.77,4.6,2.3,1.53,14.55,0,0,0.77,2.3,172.34,0,12.26,0,0.77,0.77,0,3.06,1.53,9.96,2.3,0.77,0,25.28,1.53,0.77,0.77,0,0,3.06,0,0,0,0,0,0,18.38,0.77
120,0,0,11.76,0,3.92,9.8,0,3.92,1.96,0,0,3.92,143.06,0,17.64,0,0,0,0,7.84,1.96,3.92,0,0,0,23.52,1.96,0,0,0,0,3.92,0,0,0,0,0,0,17.64,1.96
