stage,axial,blastomeres,epidermis,eye,glial,immune,ionocyte,liver,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,15.73,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,2,2,0,0,0,0,0,8,0,0,0,0,1,0,1,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,4.93,0.82,0,0,0.82,0,0,0.82,3.28,0
 36-46,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,0,0,2.87,0,0.57,0,0,0,0,0,0.57,0
 60-70,0,0,0,0.98,0.98,0,0.98,0,1.96,2.94,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,0,0,0,2.94,0,0,0,0.98,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,0,0,0,1.06,1.06,1.06,0,0,2.12,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
