stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,1.64,0,2.46,18.06,0,2.46,0.82,0,0,0,0,0,0,1.64,0.82,0,12.31,11.49,0.82,0,0,0,0,0,18.88,10.67,1.64,0,0,0.82,0,0
 36-46,0,0,0.81,0,0.81,62.04,0,2.42,0.81,0,0,0,0,0,0,15.31,0,0,37.87,8.06,0,0,0,0,1.61,0,25.78,1.61,4.83,0,0,0,0,0
 48-58,0,0,0.57,0.57,4.02,33.28,0,3.44,1.15,0,0.57,0,0.57,0,0.57,36.15,0,0,56.23,13.77,0,0,0,0,0,0,20.66,0,2.3,0,0,0,0,0
 60-70,0,0,0,0,1.96,32.39,2.94,0.98,0,0.98,0,0,0,0,0,109.93,0,0,50.06,8.83,0,0.98,0.98,0,0,0,16.69,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,14.72,14.72,0,2.94,1.96,0.98,0.98,0.98,0.98,0,0,180.63,0,0,54.97,8.83,0,0.98,0,0,0.98,0,6.87,0,0,0,0,0,0,0.98
 84-94,0,0,1.06,0,19.12,22.3,1.06,3.19,0,1.06,0,1.06,2.12,0,0,178.42,0,0,48.85,5.31,0,0,0,0,2.12,0,14.87,0,1.06,0,1.06,2.12,1.06,0
 96-106,0,0,0,1.09,5.46,18.58,0,1.09,2.19,0,1.09,0,0,1.09,0,166.11,0,1.09,34.97,13.11,0,2.19,0,1.09,1.09,0,10.93,0,0,1.09,0,1.09,0,0
108-118,0,0.77,0.77,0,4.6,22.98,1.53,1.53,1.53,0,0,0.77,0.77,0,0,127.92,0,0,36.77,10.72,0,0.77,0,0,0,0,10.72,0,0,0,0,0,0,0
120,0,0,5.88,0,7.84,17.64,0,0,1.96,0,0,1.96,0,0,0,127.39,0,0,25.48,7.84,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0,0
