stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,27,0,0,1,0,0,0,0,8,0,0,0,0,0
 24-34,0,0.82,0,3.28,0,0,0,0,0,0,0,0,0,0,0,4.93,0,2.46,59.92,0,2.46,2.46,0,0,0,0.82,9.85,0,0,1.64,0,0
 36-46,0,0.81,0,10.47,0,0.81,4.83,0,0.81,0,0,0,0,0,0,1.61,0,0,54.79,0,0.81,0,0,0,0,0,12.89,0,0,0,0,0
 48-58,0,0,0,14.92,0,0.57,8.03,0,0.57,0,0,0,0,0,0,8.61,0,0,25.82,0,1.72,0,0,0,0,0,3.44,0,0,1.15,0,0
 60-70,0,0,0,21.59,0,0,11.78,0.98,0.98,0,0,0,0.98,0,0,11.78,0,1.96,26.5,0,0.98,0.98,0,0,0,0,5.89,0,0,0.98,0,0
 72-82,0,0.98,0,13.74,0,0,15.71,0,0,1.96,0.98,0,0.98,0,0,12.76,0,0,21.6,0,1.96,0,0,0,0,0,0.98,0,0,3.93,0,0
 84-94,0,4.25,0,9.56,1.06,0,10.62,1.06,1.06,2.12,1.06,0,0,0,1.06,10.62,0,1.06,11.68,0,2.12,1.06,0,0,2.12,0,0,1.06,0,1.06,0,0
 96-106,0,1.09,0,7.65,0,1.09,6.56,0,0,1.09,2.19,1.09,0,1.09,0,8.74,1.09,2.19,22.95,0,5.46,1.09,0,6.56,0,0,1.09,0,0,4.37,0,0
108-118,0,6.13,0,6.13,1.53,0,13.79,0.77,0.77,3.83,1.53,3.83,0,0.77,0,8.43,0,0.77,13.02,0,6.13,0,0,5.36,0,0,1.53,0.77,0,2.3,1.53,0.77
120,0,7.84,0,17.64,0,0,13.72,1.96,0,9.8,1.96,0,0,0,0,5.88,1.96,1.96,17.64,0,3.92,0,0,50.95,0,0,0,3.92,1.96,0,0,1.96
