stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,neural,notochord,otic,paraxial_mesoderm,periderm,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0.57,0,0,0,0,0.57,0.57,0,0,0.57,0.57,0,0.57,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0,0.98,0
 72-82,0,0,0,0,0.98,0,1.96,0.98,1.96,0,0,0.98,0,0,0,1.96,0,0.98,0,0,0
 84-94,0,1.06,0,1.06,0,0,0,0,3.19,0,1.06,1.06,2.12,0,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,1.09,0,0,1.09,0,2.19,1.09,3.28,0,2.19,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0.77,1.53,0,0,0,0,2.3,0.77,0.77,0.77,0,0.77,0,0,0,0,0,0,3.06
120,0,0,0,1.96,1.96,0,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,3.92
