stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,79.07,1594.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0
  5-6,85.81,1146.24,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0
  7-9,7.89,26.29,0,26.29,0,0,0,34.17,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,341.73,10.51,0,0,105.15,0,5.26,2.63,0,0,0,0,0,0,0
 10-12,3.15,9.44,0,9.44,0,3.15,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,6.29,0,0,91.26,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,17,1,2,0,0,0,0,0,5,0,0,7,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,6.57,0.82,0,0,0,0,0,0,0,0.82,0,5.75,0,0,0.82,27.09,0,0.82,0.82,0,0,2.46,0,0,0,0.82,10.67,0,0,0
 36-46,0,0,0,0,0.81,0,0,12.89,0,0.81,0,0,0,0,0,0,0,0,8.86,0,0,0.81,55.59,0,0.81,0,0,0,4.03,0,0,0,0,10.47,0,0,0.81
 48-58,0,0,0,0,1.15,0,0,13.77,0,0.57,2.87,0,0.57,0,0,0,0,0,5.74,0,0,0.57,30.41,0.57,0.57,0,0,0,1.15,0,0,0,0,5.16,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,16.69,0,0,4.91,0.98,0,0.98,0.98,0,0,0,10.8,0,0,1.96,48.09,0,0,0,0,0,0.98,0,0,0,0,8.83,0,0,1.96
 72-82,0,0,0,0,1.96,1.96,0,16.69,0,0,7.85,0,0,0,0,0,0,0,18.65,0,0,0.98,38.28,0,0,1.96,0,0.98,1.96,0,0,0,0,7.85,0.98,0,1.96
 84-94,0,0,0,0,0,1.06,0,6.37,0,1.06,2.12,0,0,0,1.06,0,0,0,9.56,2.12,0,1.06,15.93,0,0,2.12,0,0,6.37,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,4.37,4.37,0,5.46,1.09,1.09,5.46,0,0,0,0,0,0,0,6.56,1.09,1.09,1.09,15.3,0,0,1.09,0,0,3.28,0,0,0,0,2.19,1.09,0,0
108-118,0,0,0,0,1.53,0,0.77,6.13,0,0,7.66,0.77,0,0,1.53,0.77,0,0.77,5.36,0,1.53,0.77,12.26,0,0.77,0.77,0,0,5.36,0,0,0.77,0,0.77,0,0,0
120,0,0,0,0,5.88,0,0,9.8,0,0,3.92,1.96,0,0,3.92,0,0,0,1.96,0,0,0,7.84,0,0,0,0,0,1.96,0,0,0,0,0,0,0,3.92
