stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,gut,iridophores,mesenchyme,mural_cell,muscle,neural,pericytes,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,1
 24-34,0,0.82,0,0,0,0,0,0,0,0,4.93,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,11.28,0,0
 48-58,0,0,0,0.57,0,0,0,0.57,0,0,5.74,0,0
 60-70,0,0,0,0.98,0,0,0,0.98,0,0.98,11.78,0,0.98
 72-82,0,0.98,0,0.98,0,0,0,0,0,0,13.74,0,0
 84-94,0,0,0,0,0,2.12,1.06,0,3.19,0,5.31,0,0
 96-106,0,0,0,0,1.09,0,0,1.09,0,0,2.19,0,0
108-118,0,0,0.77,0,0,0,0.77,0,0,0,3.06,0.77,0
120,0,0,0,0,1.96,1.96,0,0,0,0,9.8,0,0
