stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,24.63,0.82,0.82,0,0,0,0,0,0.82,0,0,0.82,0,0,18.06,0,0,0,0,0,2.46,0,0.82,0,0
 36-46,0.81,0,0,41.89,0,0,2.42,0,0,0,0,0,0.81,0.81,4.03,0,0.81,38.67,0,0.81,0,0,2.42,5.64,0,0,0,0.81
 48-58,0.57,0,0,34.43,0.57,0,1.72,0,0,0,0,0,0,0.57,2.87,0,0,20.66,0,0.57,0,0,0.57,2.87,0,0.57,0,0
 60-70,0,0.98,0,60.85,0,0,2.94,0,0,0,0.98,0.98,0,0,2.94,0,0,13.74,0,0,0,0,1.96,3.93,0,0,0,0
 72-82,0.98,0.98,0,50.06,0,0.98,5.89,0,0,0,0,0,0,0,7.85,0,1.96,12.76,0,0,0,0,0,6.87,0,0.98,0.98,0
 84-94,0,0,0,44.61,0,0,0,0,1.06,1.06,0,0,0,0,3.19,0,0,7.43,1.06,0,1.06,0,1.06,0,2.12,1.06,0,0
 96-106,0,0,0,25.14,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,4.37,0,0,0,0,1.09,0,0,1.09,0,0
108-118,1.53,0,0.77,39.83,0,0,3.06,1.53,0,0,0,0,0,0,7.66,0,0,10.72,0,0,0.77,0,0.77,0,0,0.77,0,0
120,0,0,0,41.16,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,5.88,0,0,0,1.96,1.96,0,0,1.96,1.96,0
