stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,1,1,3,6,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,5.75,0,0,0.82,0,0.82,0.82,0,0,0,5.75,0,0,0.82,47.61,0,0,0.82,0,3.28,0,0.82,13.95,0,0,1.64,0,0
 36-46,0,0,0,1.61,0,0,21.75,0,0,1.61,0,0,0.81,0,0,0,2.42,0.81,0,0.81,77.34,0,0,0.81,0,0.81,0,0,20.95,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,38.44,0,0,5.16,0,0,0,0,0.57,0,6.89,0,0,0,69.43,0.57,0,0.57,0,1.72,0,0,7.46,0,0,1.15,0,0
 60-70,0,0,0,0.98,0,0,153.12,0.98,0,5.89,0,0,0.98,0,0,0.98,12.76,0,0,0.98,77.54,0,0.98,0,0,0,0,0,8.83,0.98,0,0,0,0
 72-82,0,0,0,1.96,0.98,0,208.11,0,0,3.93,0,0,0,0,0,0,9.82,0,0,0,34.36,0,0.98,0.98,0,0.98,0,0,1.96,0,0,0.98,0.98,0.98
 84-94,0,0,0,1.06,0,0,148.69,0,2.12,3.19,0,0,0,0,0,0,5.31,0,1.06,0,22.3,0,0,0,0,2.12,0,0,4.25,0,1.06,0,0,0
 96-106,0,0,0,3.28,0,0,127.86,0,0,3.28,0,0,0,0,1.09,0,3.28,0,2.19,0,19.67,0,0,1.09,0,3.28,0,0,0,0,1.09,0,0,0
108-118,0,0,0,3.06,1.53,0.77,79.66,0,0.77,3.83,0.77,0,0.77,0.77,0.77,0.77,2.3,0.77,0.77,0,17.62,0,0,0,0,2.3,0,0,1.53,0.77,0,0.77,0,0
120,0,0,0,0,0,0,64.67,0,0,0,0,0,3.92,0,0,0,1.96,0,0,1.96,9.8,0,0,0,0,0,0,0,0,0,0,1.96,0,0
