stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,1,89,0,0,0,1,0,0,1,134,0,0,0,0
 24-34,0,0,0,0,0,2.46,0,16.42,0,0,0,0,0,0,4.93,0.82,303.72,0,0.82,3.28,0,0.82,0.82,0,413.71,0,0,1.64,0
 36-46,0,0,0.81,0,0,11.28,0.81,8.06,0,0.81,0,0.81,0.81,0,2.42,0,558.33,0,0.81,0.81,0,0,0,0,638.9,0,0,0,0
 48-58,0,0,2.3,0,0,62.54,1.15,21.23,0,0,0,0.57,0,0.57,10.9,1.15,709.22,0,0,2.3,0,0.57,0,0,722.99,0,0,0,2.3
 60-70,0,0,0.98,0,0,77.54,0.98,33.37,0.98,0,0,1.96,0,0,27.48,2.94,656.64,0.98,0,4.91,0,2.94,0,0,575.17,0,0,0,0
 72-82,0,0,1.96,0,0,101.11,0.98,49.08,0,0,0,0,0.98,0,32.39,0.98,648.88,0,0,12.76,0,0,0,0,354.38,1.96,0,0,0
 84-94,0,0,2.12,0,0,83.9,0,39.3,0,0,0,2.12,0,0,16.99,0,343.04,0,0,19.12,0,1.06,0,0,187.98,1.06,1.06,0,0
 96-106,0,1.09,6.56,0,1.09,41.53,0,43.71,0,0,0,5.46,0,0,30.6,0,286.33,0,0,28.41,0,1.09,0,0,83.06,1.09,0,1.09,0
108-118,0,0,3.06,1.53,0,31.4,0,42.89,0,0,1.53,6.89,0,0,19.15,2.3,343.92,0,0,15.32,0,0,0,0,67.4,0.77,0,0,0
120,0,0,3.92,0,0,27.44,0,37.24,0,0,0,3.92,0,0,25.48,0,313.57,0,0,11.76,0,1.96,0,0,52.91,0,0,1.96,0
