stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,neural,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,3.28,0,0,15.6,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,3.22,0,0,8.06,0.81,0,0
 48-58,0,0,1.72,0.57,0.57,0,0,0,0.57,0,0,5.16,0,0,12.05,1.72,0,0
 60-70,0,0,0,0,0,1.96,0,0,0.98,0,0,0.98,0,0,15.7,0,0,0
 72-82,0,0,0.98,0,0,0,1.96,0.98,1.96,0,0.98,1.96,0,0.98,18.65,0.98,0,0
 84-94,0,0,0,1.06,0,0,1.06,0,0,1.06,0,0,1.06,0,78.59,0,0,1.06
 96-106,0,9.84,3.28,2.19,0,0,2.19,0,1.09,0,0,2.19,1.09,0,51.36,0,1.09,0
108-118,0,2.3,0,0.77,0,0.77,3.06,0.77,0,0.77,0,1.53,0.77,0,45.96,0,0.77,0
120,0,1.96,0,1.96,0,0,1.96,0,0,0,0,3.92,0,0,47.03,0,0,0
