stage,axial,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4,0,1,0,0,3,0,0,0,1,0,0,0,1,0,1,24,2,0,0,0,1,1,4,1,14,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,2.46,0,0,0,0.82,0,0,0,2.46,0,2.46,17.24,0,0,0.82,0,0.82,0.82,0.82,0,11.49,0,0,0,0
 36-46,0,0,0,6.45,0,0,4.03,0,0,0,0,0,0,0,0.81,0.81,0.81,25.78,0.81,0.81,0,0,1.61,0,0,0,10.47,0,0.81,0,0
 48-58,0.57,0.57,0,14.35,0,0,4.02,0,0.57,0,0,0.57,0.57,0,6.31,0,1.72,30.41,0.57,1.15,0.57,0,0.57,0,0,0,6.89,0,0,0,0.57
 60-70,0,0,0,18.65,0,0,7.85,0,0,0,0,0,0,0,7.85,0.98,0,21.59,0,0.98,0,0,0,0,0,0,3.93,0.98,0,0,0
 72-82,0,0,1.96,17.67,0,0.98,13.74,0,0,0,0,0,0,0,8.83,0,0.98,25.52,0,0,1.96,0,0.98,0,0,0,1.96,0,0.98,0.98,0
 84-94,0,0,0,6.37,0,1.06,4.25,1.06,0,0,0,0,0,0,11.68,0,2.12,10.62,0,0,0,1.06,0,0,0,0,2.12,0,1.06,0,0
 96-106,0,2.19,0,4.37,1.09,1.09,6.56,0,1.09,0,0,1.09,0,0,12.02,0,0,10.93,0,0,2.19,0,0,0,0,0,0,0,0,0,1.09
108-118,0,1.53,0,7.66,1.53,0,7.66,0.77,0,0.77,0,0.77,0,0.77,3.06,0.77,0.77,15.32,0,3.06,0,0,1.53,0,0,0,0.77,0,1.53,0,0.77
120,1.96,1.96,0,1.96,0,0,9.8,0,0,1.96,0,0,0,0,9.8,0,0,13.72,1.96,0,3.92,0,0,0,0,0,5.88,0,0,0,0
