stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,13,24,0,0,0,0,0,5,0,1,13,4,0,0,1,0,0
 24-34,0,0,3.28,0,4.93,0,3.28,0,0,2.46,0,0,0,0,0,0,0,0,0,4.93,0,3.28,76.34,4.1,0.82,0,0,0,0.82,0,0.82,0.82,1.64,21.34,0,0,5.75,0,0
 36-46,0,0,0,0,4.83,0.81,7.25,5.64,0,1.61,2.42,0,0,0.81,0,0,0,0,0,5.64,0.81,4.03,138.58,3.22,1.61,0,0,0,0.81,0,0.81,0.81,0,31.42,0,0,1.61,0,0
 48-58,0,0,1.15,0,2.87,0.57,18.36,3.44,0,1.15,6.31,0,0.57,0.57,0,0,0,0.57,0.57,6.89,1.15,1.15,149.19,2.87,1.15,0,0,0,1.15,0,0.57,1.15,0,23.53,0,0,1.72,0,0
 60-70,0,0,0.98,0,0.98,0,28.46,4.91,1.96,0,4.91,0.98,0,0,0.98,2.94,0,0,0,12.76,0,1.96,241.45,1.96,1.96,0,0,1.96,1.96,0,0,0.98,0,25.52,0,0.98,5.89,0.98,0
 72-82,0,0,2.94,0,4.91,0.98,52.03,3.93,0,1.96,16.69,1.96,0.98,4.91,0,0,0.98,0,0,25.52,2.94,0,270.94,0,0.98,0,0,0.98,0,0,2.94,0,0,21.6,0,3.93,6.87,9.82,0.98
 84-94,0,0,2.12,0,7.43,0,41.42,1.06,0,0,10.62,1.06,0,11.68,0,1.06,0,0,0,12.74,2.12,1.06,187.98,1.06,1.06,0,0,3.19,3.19,0,2.12,3.19,0,19.12,0,4.25,9.56,10.62,0
 96-106,0,0,2.19,0,4.37,4.37,46.99,3.28,1.09,3.28,7.65,1.09,1.09,5.46,0,3.28,1.09,1.09,0,30.6,3.28,0,136.61,1.09,0,1.09,0,2.19,0,0,4.37,1.09,0,17.49,1.09,4.37,8.74,19.67,0
108-118,0,0,3.83,0.77,0.77,1.53,50.55,3.06,0,1.53,8.43,0,0,13.79,0,2.3,0,0,0,20.68,2.3,1.53,200.68,1.53,0,0.77,0,2.3,0,0,0.77,0,0,9.19,0,0,10.72,16.09,0.77
120,0,0,0,0,5.88,1.96,39.2,1.96,0,1.96,11.76,1.96,0,5.88,1.96,0,1.96,0,0,17.64,0,5.88,237.13,3.92,1.96,0,0,3.92,1.96,0,3.92,3.92,0,19.6,0,0,3.92,27.44,1.96
