stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,582.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,13.14,36.8,0,0,68.35,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,349.62,7.89,0,0,110.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,22.03,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.81,6.29,0,0,141.61,0,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,11,4,12,0,0,0,4,2,0,0,0,0,0,0,0,0,13,0,0,7,125,3,0,0,7,0,0,0,9,1,0,15,47,0,0,0,0,0
 24-34,0,0,1.64,9.03,0,31.19,0,0,1.64,3.28,1.64,0,0,0,0.82,0,0,0,0.82,30.37,0,0,16.42,347.22,0.82,0,4.1,0,0,4.1,0,0,0,0,4.93,106.71,0,0,4.93,0,0
 36-46,0,0,0,4.03,0,56.4,0,0.81,0.81,18.53,0,0,0.81,0,0,0,0.81,0.81,0,41.09,0,0,10.47,358.52,1.61,2.42,0.81,0,0,3.22,0,0,1.61,0,0,78.96,0,0,1.61,0,0
 48-58,0,0,0,1.72,0,75.17,0.57,0.57,2.87,22.95,0,0,1.72,0.57,0,0.57,0.57,0,0.57,53.94,0,0.57,3.44,242.72,0.57,0.57,0.57,0,0,1.15,0,0,1.15,0,0,57.95,0,0.57,1.15,0,0.57
 60-70,0,0,0,4.91,0,89.32,0.98,0,0.98,27.48,1.96,0,0,0,0,0,0,0.98,0,56.93,0,0.98,5.89,219.86,0,1.96,0,0,0,2.94,0,0,0.98,0,0,27.48,0,0.98,4.91,0,0.98
 72-82,0,0,0,2.94,0.98,64.79,0.98,0.98,5.89,17.67,0.98,0,0,2.94,0,0,0,0.98,0,47.12,0,0,5.89,140.38,0.98,1.96,1.96,0,0.98,5.89,0,0,0,0,0,4.91,0,0,2.94,0,1.96
 84-94,0,0,0,3.19,1.06,38.23,1.06,0,0,19.12,1.06,1.06,0,2.12,1.06,2.12,1.06,1.06,0,33.99,1.06,1.06,4.25,81.78,0,0,2.12,0,0,7.43,0,0,1.06,1.06,0,2.12,2.12,2.12,4.25,0,0
 96-106,0,0,0,4.37,0,34.97,2.19,0,3.28,19.67,3.28,0,2.19,2.19,0,0,1.09,1.09,2.19,42.62,0,1.09,5.46,65.57,0,2.19,3.28,0,1.09,3.28,0,0,0,0,0,3.28,0,0,4.37,3.28,0
108-118,0,0,0.77,3.06,1.53,21.45,1.53,0.77,0.77,17.62,0.77,0,0.77,3.83,0,3.83,0,0.77,0.77,30.64,0.77,0,5.36,91.92,0.77,0.77,5.36,0,0.77,1.53,0,0,0,0,0,1.53,2.3,0.77,3.83,1.53,1.53
120,0,0,0,5.88,0,19.6,0,0,1.96,7.84,1.96,0,1.96,1.96,1.96,0,1.96,0,0,19.6,0,0,7.84,50.95,0,1.96,3.92,0,0,7.84,0,0,0,0,0,1.96,0,0,0,0,0
