stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,heart,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,13.14,2.63,0,5.26,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,28.32,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,2,1,0,0
 24-34,0,0,0,0,1.64,0,0,0,2.46,0,9.03,0,0,0,0.82,0,3.28,0,1.64
 36-46,0,0,0,0,3.22,0,0,0,0.81,0.81,3.22,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.3,0.57,0,0,0.57,1.15,1.72,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,3.93,0.98,0.98,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,1.06,0,2.12,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,2.19,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77
120,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
