stage,endoderm,epidermis,eye,glial,lateral.line,melanocytes,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,taste
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0.82,0,0,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,0,0,0,4.91,0,0,0,0
 84-94,0,0,0,1.06,3.19,0,1.06,0,0,5.31,0,0,0,0
 96-106,0,1.09,0,0,4.37,0,1.09,2.19,1.09,3.28,0,0,0,2.19
108-118,0,0.77,0,0,3.06,0,0,0.77,0,5.36,0,0,0,2.3
120,0,0,0,0,3.92,0,0,0,0,1.96,0,1.96,0,0
