stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,3,2,0,2,24,0,0,0,2,0,0,0,0,8,0,0,0,0,7
 24-34,0,0,2.46,0,1.64,0,0,26.27,0.82,0,0,0,0.82,0,2.46,0,0,0,27.91,1.64,0,1.64,159.25,1.64,11.49,3.28,0,0,0.82,0,0.82,37.76,0,0,2.46,0,18.88
 36-46,0,0,0,0,0,0.81,0,29,0,0,0.81,0,0,0,0.81,0,0,0,12.89,4.03,0,0,407.67,0,19.34,1.61,0,0,0.81,0,0.81,75.73,0,0,4.03,0,11.28
 48-58,0,0,0,0,1.15,0,0,49.35,0,0,3.44,0.57,0,0.57,0,0.57,0,0,6.31,5.16,0,1.15,418.3,0,11.48,0,0,0,1.15,0,0,52.22,0,0,1.15,0,5.74
 60-70,0,0,0,0,0,0.98,0,272.86,0,0,6.87,0,0,0.98,0.98,0,1.96,0,0,3.93,0.98,0.98,771.48,0.98,13.74,2.94,0,0.98,0.98,0,0,57.91,0,2.94,0,0,3.93
 72-82,0,0,0,0,9.82,2.94,0,510.46,0.98,0,20.61,0,1.96,0,0,0.98,0.98,0,0.98,35.34,1.96,0.98,833.43,0.98,26.5,6.87,0,0,0,0,0,58.9,1.96,1.96,1.96,0,3.93
 84-94,1.06,0,0,0,3.19,1.06,0,468.36,0,0,12.74,1.06,0,0,1.06,3.19,3.19,1.06,3.19,15.93,0,1.06,449.24,3.19,18.05,5.31,0,1.06,3.19,0,0,31.86,2.12,1.06,0,3.19,0
 96-106,0,0,0,0,10.93,3.28,0,276.49,0,0,13.11,3.28,0,3.28,0,0,5.46,2.19,3.28,9.84,5.46,0,401.07,1.09,34.97,15.3,0,0,2.19,0,0,13.11,4.37,3.28,1.09,2.19,2.19
108-118,0,0,0.77,0.77,7.66,0,0.77,215.24,1.53,0.77,7.66,1.53,0,1.53,0,0,5.36,0.77,1.53,7.66,1.53,0,509.37,0,27.57,10.72,0,0,0.77,0,0,7.66,3.06,2.3,0.77,0,0.77
120,0,0,0,0,5.88,3.92,0,117.59,0,1.96,5.88,0,0,0,0,0,1.96,0,1.96,7.84,1.96,0,487.99,0,15.68,11.76,0,0,0,0,0,13.72,0,5.88,0,1.96,0
