stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,4,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0.82,0,0.82,0,0,0,1.64,0,0,1.64,8.21,0,0,0,8.21,0,0,1.64,0,2.46,0,0
 36-46,0,0,0.81,0,1.61,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0,10.47,0,0,0,3.22,0,0,4.83,0,0,0,0
 48-58,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,15.49,0,0.57,0.57,4.59,0,0,1.72,0,0,0,0
 60-70,0.98,0,0,0,0.98,0.98,0,0,0,0,0,0.98,0,0,0.98,4.91,0,0,0,12.76,0,0,0,7.85,0,0,0.98,0,1.96,0,0
 72-82,0,0,0.98,0.98,5.89,0.98,0,6.87,1.96,0,0,0,0.98,0,0,7.85,0,0,0,16.69,0.98,1.96,0,6.87,0,0,2.94,0,1.96,0,0
 84-94,0,0,1.06,0,4.25,0,0,1.06,1.06,0,0,1.06,1.06,0,0,3.19,0,1.06,0,8.5,0,0,0,26.55,1.06,0,1.06,0,0,1.06,0
 96-106,0,0,4.37,0,8.74,0,0,1.09,0,0,0,0,0,0,0,4.37,1.09,0,0,6.56,0,1.09,0,28.41,0,0,1.09,0,2.19,0,0
108-118,0.77,0,1.53,0.77,3.83,0,0.77,1.53,0.77,0.77,0.77,1.53,0.77,0.77,0,3.83,0.77,0,0,7.66,0,0.77,0,13.02,0,0,0,0.77,0,0,0.77
120,0,0,5.88,0,0,0,1.96,3.92,0,0,1.96,1.96,0,0,0,3.92,0,0,1.96,13.72,0,0,0,9.8,0,0,0,0,0,0,0
