stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,0,380.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,21.03,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,149.84,5.26,0,0,86.75,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,3.15,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.29,3.15,0,0,53.5,0,0,6.29,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,0,4,7,1,0,4,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,2,33,1,0,0,0,0,0,2,1,0,8,12,0,0,0,0
 24-34,0,0,0,0.82,2.46,0,0,7.39,0,0,0,0,0,0,0,0,1.64,0,1.64,1.64,0.82,10.67,0,0,7.39,111.64,0,3.28,1.64,0,0,6.57,0,2.46,0,0.82,21.34,0,2.46,0,0
 36-46,0,0,0,0,3.22,0,0,15.31,0,0,0,3.22,0,0.81,0,0,2.42,0.81,0,0,0.81,7.25,0,0.81,1.61,107.96,0.81,2.42,0,0,0,3.22,0,1.61,0,0,19.34,0,0.81,0,0.81
 48-58,0,0,0.57,0,0.57,0.57,0,27.54,0.57,0,1.15,7.46,0,0,0,0,0,0.57,0.57,0,2.3,3.44,0.57,0,2.3,47.05,0,1.15,0,0,0.57,1.72,0,1.15,1.15,0,17.79,0,2.87,0,0.57
 60-70,0,0,0,0,2.94,0,0,44.17,3.93,0.98,0,12.76,0,0,0,0,0,0,0,0,0.98,12.76,0.98,0,0.98,52.02,2.94,1.96,0,0,0,7.85,0,0.98,0,0,9.82,0,1.96,0,0
 72-82,0,0,0,0,4.91,0.98,0,31.41,0,0.98,2.94,19.63,0,0,0,0.98,1.96,0,0.98,0.98,0.98,20.61,0,0,2.94,58.9,0,0.98,2.94,0,0,3.93,0,0.98,0,0,4.91,0,3.93,2.94,0
 84-94,0,0,0,0,6.37,2.12,0,25.49,0,2.12,1.06,12.74,2.12,1.06,0,0,0,0,1.06,0,3.19,11.68,0,1.06,1.06,16.99,1.06,0,2.12,0,0,11.68,0,1.06,2.12,0,4.25,0,1.06,0,1.06
 96-106,0,0,0,0,8.74,1.09,0,17.49,0,3.28,1.09,7.65,4.37,0,1.09,2.19,1.09,2.19,0,2.19,1.09,16.39,2.19,0,4.37,26.23,1.09,0,3.28,0,0,7.65,0,0,1.09,0,4.37,0,4.37,0,1.09
108-118,0,0,0.77,0,3.06,1.53,0.77,13.02,0,0.77,3.06,11.49,5.36,0,1.53,0.77,1.53,2.3,0.77,4.6,0.77,13.02,0,1.53,1.53,26.04,0.77,2.3,2.3,0,0,7.66,0,2.3,3.06,0,2.3,0.77,3.06,0,0
120,0,0,0,0,7.84,0,0,15.68,0,1.96,0,11.76,9.8,0,0,9.8,5.88,1.96,3.92,1.96,0,5.88,0,0,7.84,47.03,0,1.96,5.88,0,0,3.92,0,7.84,0,0,0,0,7.84,0,0
