stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,36.78,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,16,7,0,0,0,0,1,0,2,26,0,0,0,1,0,0,1,34,1,0,0,0,0,0,0,0,12,0,0,1,0,0
 24-34,0,0,0,0,65.67,0.82,0,8.21,0,0,0,0,3.28,35.3,0,0,0,7.39,0,0,1.64,19.7,6.57,0,0,0,0,0,0,0,5.75,0,0,43.51,0,0
 36-46,0,0,0,0,66.87,0,0,15.31,0,0,1.61,0,2.42,30.62,0,0,0,9.67,0,0.81,1.61,19.34,15.31,0,0,0,0,0.81,0,0,2.42,0,0,36.26,0.81,0
 48-58,0,0,0,0,51.64,0.57,0,55.66,0,2.87,1.72,0,1.72,28.69,0,0.57,1.15,32.71,1.15,0.57,0.57,35.58,0.57,0,0,0,0,0,0,0,1.72,0,0.57,27.54,0.57,0
 60-70,0,0,0.98,0,116.8,0,0,180.6,0,3.93,7.85,0,0,50.06,0,0,0,135.45,3.93,1.96,2.94,77.54,8.83,0,0.98,0,0,0.98,0,0,2.94,0,7.85,33.37,1.96,0.98
 72-82,0,0,0,0,150.19,1.96,0,240.51,1.96,5.89,7.85,0,1.96,61.84,0,2.94,0,236.58,2.94,7.85,1.96,107.98,2.94,0,2.94,0,2.94,1.96,0,0,6.87,0.98,23.56,60.86,12.76,0
 84-94,0,0,1.06,0,485.35,6.37,0,216.66,0,24.43,10.62,1.06,0,94.52,1.06,4.25,1.06,190.1,7.43,5.31,5.31,67.97,4.25,0,1.06,0,6.37,5.31,0,1.06,5.31,0,36.11,46.73,18.05,1.06
 96-106,0,0,0,0,422.93,3.28,0,225.13,0,22.95,17.49,3.28,1.09,106.01,2.19,1.09,0,161.74,4.37,8.74,1.09,76.5,7.65,1.09,2.19,0,1.09,2.19,0,0,4.37,1.09,30.6,66.66,24.04,0
108-118,0,0,0.77,0,423.58,1.53,0.77,215.24,0,19.92,16.09,4.6,0.77,79.66,0,4.6,0.77,117.96,4.6,7.66,0.77,68.94,4.6,0.77,2.3,0,1.53,1.53,0,0.77,2.3,0,22.21,48.26,12.26,0.77
120,0,0,0,0,339.04,1.96,0,117.59,0,21.56,7.84,3.92,0,84.27,1.96,0,0,111.71,7.84,1.96,1.96,56.83,9.8,0,3.92,0,3.92,1.96,0,0,1.96,0,25.48,47.03,7.84,0
