stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,263.56,4322.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,1507.89,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,61.3,6.13,0,0,18.39,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,31.54,18.4,0,28.92,0,0,0,55.2,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,446.88,21.03,0,0,191.9,0,7.89,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,18.88,0,3.15,0,56.65,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,409.11,15.73,0,0,217.14,0,6.29,9.44,3.15,28.32,0,3.15,0,0,0,0,0
 14-21,0,0,0,6,38,24,0,25,0,0,0,13,4,0,0,0,1,0,0,1,0,26,0,0,21,379,45,1,2,12,0,34,3,70,4,1,52,131,0,4,0,0
 24-34,0,0,0,1.64,36.94,4.93,0,109.99,0,0.82,0,18.06,1.64,0,2.46,2.46,0.82,0.82,0.82,0.82,0,76.34,1.64,0,36.12,849.59,16.42,5.75,6.57,0,0,142.83,0,0,2.46,0,5.75,199.47,0,13.13,0,1.64
 36-46,0,0,0,0,15.31,6.45,0,226.39,0,0.81,0,24.98,0.81,0,0,2.42,0.81,1.61,0,1.61,0,66.87,0.81,0,28.2,633.26,7.25,6.45,1.61,0,0,60.43,0,0,1.61,0,0,173.22,0,8.86,0,2.42
 48-58,0,0,0,0,11.48,8.61,0,270.84,0,1.15,0,16.64,0,0,3.44,1.72,0,1.15,0,0.57,0,69.43,0,2.87,12.62,268.54,1.15,3.44,1.72,0,0,15.49,0,0,0.57,0,0,54.51,0.57,10.33,0,2.87
 60-70,0,0,0.98,0,15.7,0,0,215.93,0,0.98,1.96,21.59,0,0,0,1.96,0,1.96,0.98,2.94,0.98,50.06,0,5.89,11.78,144.28,1.96,0,1.96,0,0,17.67,0,0,0,0,0,16.69,0,6.87,0.98,0
 72-82,0,0,0,0,19.63,0,0.98,82.46,1.96,0,0.98,27.49,2.94,0,0,0.98,0.98,1.96,0,0.98,0,59.88,0.98,6.87,11.78,108.96,0.98,0.98,1.96,0,0,6.87,0,0,0.98,0,0,5.89,0,18.65,0.98,0
 84-94,0,0,0,0,29.74,2.12,1.06,65.85,0,1.06,0,26.55,2.12,0,0,4.25,0,1.06,1.06,0,0,63.72,0,9.56,9.56,72.22,2.12,0,4.25,0,0,11.68,0,0,0,0,0,2.12,1.06,18.05,1.06,0
 96-106,0,0,0,0,16.39,0,0,65.57,0,1.09,0,20.76,5.46,0,2.19,6.56,1.09,0,0,0,0,39.34,0,1.09,7.65,60.11,3.28,0,6.56,0,0,16.39,0,0,2.19,0,0,3.28,1.09,14.21,0,0
108-118,0,0,0,0,12.26,5.36,1.53,43.66,0,1.53,0.77,19.15,0.77,0,0.77,3.83,0,3.06,0,1.53,0,30.64,0,3.06,6.13,91.92,0.77,0.77,3.06,0,0.77,13.02,0,0,0.77,0,0,2.3,0,4.6,0.77,0
120,0,0,0,0,11.76,11.76,1.96,27.44,0,0,0,25.48,0,0,1.96,5.88,0,3.92,0,1.96,0,31.36,0,1.96,1.96,68.59,1.96,0,3.92,0,0,3.92,0,0,1.96,0,0,3.92,0,3.92,0,0
