stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,6,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,3,0,1,0
 24-34,0,0,0,8.21,0.82,1.64,0,0,0.82,0,0,0.82,0,0.82,0,0,0,1.64,0,0,0.82,20.52,0,0,1.64,2.46,0,6.57,0,1.64,0
 36-46,0,0,0,4.83,0,2.42,1.61,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,26.59,0,0.81,0,0,0.81,8.06,0,2.42,0
 48-58,0,0,0,2.87,0,5.16,1.15,0,2.87,0,0.57,0,0.57,0,0,0.57,0,0.57,0.57,0,0,37.3,0,0.57,1.15,0.57,0.57,3.44,0,0,0.57
 60-70,0,0,0,4.91,0,14.72,1.96,1.96,0,0,0,0,0,0,0,0.98,0,2.94,0,0,0.98,17.67,0,0,0.98,2.94,0,0,0,0,0
 72-82,0,0,0,4.91,0,19.63,0.98,0,0.98,0,0,0,0,0,0,0,0.98,5.89,0,0,0,10.8,0,0,0.98,2.94,0.98,0,1.96,0.98,0
 84-94,0,0,0,6.37,0,9.56,2.12,1.06,0,1.06,0,0,1.06,0,1.06,0,0,6.37,0,0,0,9.56,0,0,1.06,4.25,0,0,1.06,0,0
 96-106,0,0,0,12.02,0,17.49,2.19,0,2.19,2.19,0,0,2.19,0,1.09,0,0,8.74,0,0,1.09,3.28,0,0,0,5.46,0,0,1.09,0,0
108-118,0,0,0,3.83,0,19.15,0,0,0,0,0,0,0.77,0,0,0,0,4.6,0,0.77,0,2.3,0,0.77,1.53,0.77,0,0,0.77,0.77,0
120,0,0,0,3.92,0,11.76,0,0,3.92,1.96,0,0,0,0,0,0,0,1.96,1.96,0,3.92,3.92,1.96,0,0,1.96,0,0,1.96,0,0
