stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,pericytes,periderm,pgc,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,1,8,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,89.47,2.46,0,0,0,0,28.73,0,0,0
 36-46,0,0,0,0,4.83,0,0,0.81,0,0.81,0,0,0,0,0,0,255.4,3.22,0,0,0,0,44.31,0,0,0
 48-58,0,0,0.57,0,24.1,0.57,0,2.3,0,0,0,0.57,0,3.44,0,0.57,234.69,1.15,0,1.15,0,0,45.33,0.57,0,0
 60-70,0,0.98,0.98,0,52.02,0,0,1.96,0.98,0,0,0,0.98,2.94,0,0,359.24,1.96,0,1.96,0,0,39.26,0,0,0.98
 72-82,0,1.96,2.94,0,45.16,0,0.98,0.98,1.96,0.98,0,0,0.98,1.96,0,0,319.04,0.98,0,0,0,0,16.69,0,0.98,0
 84-94,0,0,3.19,2.12,52.04,0,1.06,3.19,3.19,1.06,0,0,0,5.31,1.06,0,160.37,2.12,0,1.06,0,0,16.99,1.06,0,0
 96-106,0,0,3.28,1.09,28.41,0,0,6.56,2.19,0,0,1.09,0,3.28,0,0,186.88,6.56,1.09,1.09,1.09,0,5.46,0,0,0
108-118,0,0.77,3.83,0.77,29.11,0,0,8.43,0.77,0,0,1.53,0,0.77,0,1.53,176.94,6.13,0,0,0,0,6.13,0,0,0
120,0,0,0,0,27.44,0,0,7.84,0,0,1.96,0,0,1.96,0,1.96,223.42,3.92,0,0,0,0,3.92,0,1.96,0
