stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,9.44,0,0,22.03,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,12,3,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,1,18,0,0,2,1,0,7,2,1,3,1,0,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,3.28,0,2.46,0,0,0,0,0,0,0.82,0,0,8.21,0,4.1,18.88,0,0.82,0,0,0,0,0,0,1.64,2.46,0,0,0.82,0,0.82
 36-46,0,0,0,1.61,0,0,0.81,0,0.81,1.61,0,0,0,0,0,0,0,0,8.06,0,4.03,7.25,0,0.81,0.81,0,0.81,0,0,0,0,3.22,0,0,0.81,0,0
 48-58,0,0,0,1.72,0,0,2.3,1.72,2.3,1.72,0,0.57,0,0,0.57,0,0.57,1.15,4.59,0.57,5.16,6.31,0,0.57,0,0,1.72,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,2.94,0,0,7.85,0.98,1.96,1.96,0,0,0,0,0.98,0,0.98,0,19.63,0.98,1.96,10.8,0,0,0,0,0.98,0,0.98,0,0,1.96,0,0,0,0,0.98
 72-82,0,0,0,0.98,0,0,2.94,2.94,2.94,0.98,0,0,0.98,0,0.98,1.96,0,0,22.58,0,2.94,10.8,0.98,0.98,0,0,1.96,0,0.98,0,0,0,0,0.98,1.96,0,0
 84-94,0,0,0,2.12,0,0,4.25,2.12,2.12,5.31,0,0,0,0,1.06,0,0,0,14.87,0,2.12,4.25,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,8.74,0,0,4.37,0,1.09,3.28,0,0,2.19,1.09,1.09,0,0,0,14.21,2.19,1.09,4.37,0,0,0,0,9.84,0,0,0,0,1.09,2.19,0,1.09,1.09,0
108-118,0,0.77,0,6.13,0,2.3,0,2.3,0.77,0.77,1.53,0.77,0,0,0.77,0,0.77,0,14.55,2.3,0,3.06,1.53,0,1.53,0,1.53,0,0,0,0,0,0,0.77,1.53,0,1.53
120,0,0,0,5.88,0,0,1.96,1.96,1.96,3.92,1.96,0,0,0,0,0,0,0,3.92,0,0,5.88,0,1.96,1.96,0,9.8,0,0,0,0,0,0,0,0,0,1.96
