stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,52.57,13.14,0,107.78,0,0,0,10.51,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,541.51,152.47,0,0,323.33,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,0,147.91,0,0,0,34.62,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,1463.34,198.26,0,0,292.67,0,0,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,77,13,0,20,0,4,0,2,1,2,17,0,0,0,0,0,32,0,0,23,409,383,2,4,22,0,1,2,0,0,9,146,0,0,20,0,0
 24-34,0,0,0,2.46,62.39,3.28,0,11.49,0.82,18.06,1.64,13.13,2.46,0,12.31,0,0,0,2.46,1.64,59.92,1.64,0.82,21.34,379.24,87.01,0,13.95,0,0,4.1,0,5.75,0.82,0.82,115.74,0,0,76.34,0,0.82
 36-46,0,0,0,0,23.36,0,0,17.72,0.81,20.95,2.42,19.34,0.81,0,4.83,0.81,0,0,2.42,0,116.02,0,0,15.31,232.03,70.9,0.81,16.11,0.81,0.81,12.89,0,4.03,0.81,0,87.01,0,0.81,41.89,0,0
 48-58,0.57,0,0,0,24.67,0.57,0,28.12,2.87,20.66,9.75,44.18,0,0.57,4.02,0,0,0,1.72,0,167.55,1.15,6.31,20.66,149.19,55.09,0,22.38,0,0,10.9,0,2.3,2.3,0,74.02,0,1.15,45.33,0,0
 60-70,1.96,0,0,0,32.39,1.96,0,63.8,3.93,26.5,9.82,64.78,3.93,0,3.93,0,0,0,2.94,0,265.01,0.98,1.96,14.72,185.51,45.15,0,13.74,0,1.96,18.65,0,3.93,1.96,0,36.32,0.98,3.93,19.63,1.96,0
 72-82,0,0,0,0,50.06,0,0,92.28,6.87,32.39,18.65,94.24,4.91,0.98,3.93,0,0,0,2.94,0,366.16,0,16.69,27.49,165.9,27.49,0.98,44.17,0,0.98,34.36,0,3.93,1.96,0,10.8,0.98,14.72,32.39,7.85,0
 84-94,0,0,0,0,83.9,1.06,0,86.03,3.19,52.04,11.68,48.85,4.25,1.06,6.37,0,2.12,2.12,5.31,0,208.16,0,11.68,27.61,87.09,45.67,0,30.8,0,1.06,104.08,0,6.37,5.31,0,9.56,0,8.5,22.3,6.37,0
 96-106,0,0,4.37,0,107.1,3.28,0,73.22,5.46,46.99,7.65,68.85,0,1.09,8.74,1.09,3.28,1.09,8.74,0,169.39,2.19,12.02,20.76,95.08,21.86,1.09,45.9,0,2.19,144.26,0,2.19,3.28,0,4.37,4.37,7.65,34.97,8.74,0
108-118,0,0,0,0,148.6,2.3,0.77,57.45,2.3,82.72,11.49,53.62,7.66,0,1.53,2.3,2.3,0,6.13,0.77,180,4.6,7.66,29.87,86.55,31.4,0,63.57,0,1.53,117.19,0,4.6,4.6,0,3.83,1.53,4.6,26.81,6.13,0
120,1.96,0,0,0,154.82,1.96,0,76.43,3.92,62.71,15.68,45.08,5.88,0,1.96,0,0,0,7.84,0,182.26,7.84,9.8,25.48,117.59,43.12,0,45.08,0,0,96.03,0,9.8,1.96,0,5.88,3.92,5.88,23.52,19.6,0
