stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,37.76,0,0,0,0,0,0,0,0,0
 14-21,0,90,1,2,0,0,0,0,0,1,0,0,0,1,0,1,66,3,0,0,25,0,22,4,14,0,0,0,0,0
 24-34,0,5.75,0.82,4.1,0,0,0,0,0,0,0,0,0,11.49,0,28.73,96.04,0.82,0,2.46,0,0,0,1.64,2.46,0,0,0,0,0.82
 36-46,0,1.61,0,4.03,0,0,0,5.64,0,0,0,0,0,38.67,0,50.76,73.32,0,0,0,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,8.61,0,0.57,0,4.59,0,0,0,0,0.57,50.49,0,58.53,30.41,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,5.89,1.96,0,0,10.8,0,0,0,0,0,79.5,0,53.98,32.39,0,0,3.93,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,2.94,0,15.71,0,0,0,13.74,0.98,0,0,0,0,166.88,0,81.48,39.27,0,0,4.91,0,1.96,0,0,0.98,0,0.98,2.94,2.94,0
 84-94,0,7.43,1.06,13.81,0,1.06,1.06,5.31,0,0,0,0,0,115.76,0,50.98,10.62,0,0,6.37,0,0,0,0,0,0,1.06,1.06,1.06,0
 96-106,0,13.11,2.19,12.02,0,0,0,16.39,0,0,0,1.09,1.09,131.14,0,50.27,24.04,1.09,1.09,12.02,0,2.19,0,0,0,1.09,0,1.09,1.09,0
108-118,0,14.55,0,6.89,0,0,1.53,14.55,0,0,0.77,3.06,0.77,138.64,0.77,51.32,25.28,0,0,10.72,0,0.77,0,0,0,0,0.77,3.06,3.06,0
120,0,9.8,0,3.92,0,0,0,9.8,0,0,0,0,0,97.99,0,60.75,27.44,0,0,11.76,0,1.96,0,0,0,0,0,1.96,3.92,0
