stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,glial,immune,mesenchyme,muscle,neural,olfactory,otic,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,1,1,0,2,0,2,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,0,0,3.28,0.82,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0.81,0,0
 48-58,0,0,0,0.57,2.87,0,0,0,0,0,5.74,0.57,0,0,0,0
 60-70,0,0,0,0,6.87,0,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0.98,0,13.74,0,0.98,0,0.98,0,7.85,0,0,0.98,0,0
 84-94,0,0,0,0,6.37,0,2.12,0,0,0,3.19,2.12,1.06,0,0,1.06
 96-106,0,0,0,0,16.39,0,1.09,0,0,0,3.28,0,0,0,0,0
108-118,0,0,0,0.77,3.06,0.77,0,1.53,0,0,3.83,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0
