stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,pgc,somites,spinal_cord,taste,xanthophores
  3-4,26.36,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,96.04,0,9.85,0,0,0,0,0,0,0.82,0.82,0.82,1.64,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,44.31,0.81,8.06,0,0,0,0,0,0,0,0.81,0,1.61,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,60.25,3.44,22.95,0,0.57,0,0,0,0,0.57,0.57,0,8.03,0,0,0,0.57,0,0,1.15,0,0.57
 60-70,0,0,0,67.73,2.94,23.56,0.98,0.98,0,0,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,99.15,3.93,34.36,0,0,0,0,0,0,3.93,1.96,0,5.89,0.98,0,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,228.34,2.12,57.35,0,1.06,0,0,1.06,0,3.19,1.06,0,2.12,1.06,0,0,2.12,0,0,0,2.12,0
 96-106,0,0,0,273.21,4.37,65.57,0,1.09,1.09,0,1.09,1.09,2.19,4.37,0,6.56,2.19,0,0,1.09,0,0,0,0,1.09
108-118,0,0,0.77,271.92,3.06,94.98,1.53,0.77,6.89,0.77,0,0,2.3,2.3,0.77,5.36,2.3,0,0.77,1.53,0,0,0,1.53,0
120,0,0,0,188.14,3.92,47.03,1.96,0,0,0,0,0,1.96,3.92,0,11.76,0,1.96,0,0,0,0,0,0,0
