stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,1,0,0,3,0,0,0
 24-34,0,0,0,0,0,1.64,0,1.64,0,0,0,0,0,2.46,0,78.8,1.64,1.64,0,0.82,0,0,0.82,9.03,0,0,0
 36-46,0,0,0,0,0,1.61,0,1.61,0,0,0.81,0,0,2.42,0,156.3,1.61,0.81,0,0.81,0,0,0,20.95,0,1.61,0
 48-58,0,0,0,0.57,0,5.74,0.57,4.02,0,0.57,0,0,0.57,2.87,0,146.32,2.87,0,0,0,0,0,0,15.49,0,0.57,0
 60-70,0,0,0,0.98,0,16.69,0,8.83,0,0.98,0,0,0,1.96,0.98,270.9,1.96,0,0,0,0,0,0.98,20.61,0,0,0
 72-82,0,0,1.96,1.96,0.98,34.36,0.98,13.74,0.98,0.98,0,0,0,10.8,0,318.06,2.94,0.98,0,0,0,0.98,0,13.74,0,0,0
 84-94,0,0,0,0,0,20.18,0,6.37,0,2.12,0,1.06,0,4.25,0,147.62,3.19,3.19,0,0,0,0,0,3.19,0,0,0
 96-106,0,0,0,0,1.09,21.86,0,8.74,0,2.19,0,0,0,5.46,0,127.86,4.37,3.28,0,1.09,0,0,1.09,5.46,0,0,1.09
108-118,0,0,0,2.3,0,25.28,0,9.19,0,0,0,0,0,7.66,0,147.83,3.83,3.83,0,2.3,0,0,0,3.83,0.77,0,0
120,0,0,0,9.8,0,35.28,0,7.84,0,3.92,0,0,0,9.8,0,266.53,0,1.96,0,1.96,0,0,0,0,0,1.96,0
