stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,392.3,6.13,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,70.98,5.26,36.8,0,0,15.77,0,0,0,0,552.03,0,0,0,0,0,0,0,0,0,0,0,191.9,60.46,0,0,84.12,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,28.32,0,3.15,12.59,0,0,0,0,188.82,0,0,0,0,0,0,0,0,0,0,0,292.67,62.94,0,0,100.7,0,0,0,0,9.44,0,0,6.29,0,0,0,0
 14-21,0,0,2,37,16,7,1,0,156,7,4,4,0,2,0,1,0,0,34,0,0,15,330,11,2,82,24,0,0,2,17,173,1,13,537,0,1,0,0
 24-34,0,0,0,9.03,1.64,2.46,0,0.82,135.44,0.82,0,0,0,3.28,0,3.28,0,0.82,22.98,2.46,0,6.57,145.29,4.93,0.82,11.49,0,0,0.82,1.64,0,87.83,0,9.03,320.95,0,3.28,0,0
 36-46,0,0,0,1.61,1.61,6.45,0,3.22,75.73,0,0.81,0.81,0,0.81,0.81,1.61,0,0,20.95,0,0,13.7,120.04,1.61,3.22,8.06,0,0,0,0,0,39.48,0.81,0,155.49,0.81,0,0,0.81
 48-58,0,0,0,0.57,0,6.89,0,0,46.48,0,8.61,0.57,0,0.57,0,3.44,0,0,4.02,1.15,1.15,0.57,24.1,0,3.44,6.31,0,0,0,0,0,9.75,0,0,90.09,0.57,1.15,0,0
 60-70,0,0,0,0,0,6.87,0,0,39.26,0,3.93,0,0,0,0,7.85,0,0,4.91,0.98,0,0,12.76,0,4.91,7.85,0,0,0,0,0,7.85,0.98,0,41.22,0,0,0,0
 72-82,0,0,0,1.96,0,4.91,0,0.98,40.25,0,4.91,0,0,0,0,13.74,1.96,0.98,11.78,0,0,0,14.72,4.91,4.91,10.8,0,0,0.98,0,0,3.93,0,0,30.43,0,0.98,1.96,0.98
 84-94,0,0,2.12,2.12,0,4.25,0,0,35.05,0,4.25,0,0,2.12,3.19,20.18,0,0,0,0,1.06,0,12.74,2.12,16.99,23.36,0,1.06,0,0,0,13.81,0,0,38.23,0,2.12,0,0
 96-106,0,0,2.19,4.37,0,7.65,2.19,1.09,37.16,3.28,1.09,0,0,0,3.28,46.99,0,1.09,5.46,1.09,2.19,0,5.46,2.19,15.3,30.6,0,0,0,0,0,10.93,0,0,29.51,0,1.09,0,0
108-118,0,0,2.3,3.06,3.83,1.53,0,1.53,32.17,0.77,0,0,0.77,0,0.77,24.51,4.6,0,5.36,1.53,0,0.77,11.49,3.06,13.79,24.51,0,0.77,1.53,0,0,13.02,0,0,22.98,0,1.53,0.77,0
120,0,0,0,5.88,3.92,1.96,0,0,3.92,0,0,0,0,0,1.96,33.32,1.96,0,5.88,0,0,0,7.84,1.96,3.92,21.56,0,0,0,0,0,7.84,0,0,7.84,1.96,0,0,0
