stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,heart,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,79.07,1502.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,116.46,1642.74,6.13,0,0,0,0,0,0,6.13,0,0,0,0,0,0,36.78,0,0,0,12.26,36.78,0,0,0,0,0,0,0
  7-9,15.77,10.51,28.92,0,0,60.46,0,0,0,13.14,0,0,0,0,0,0,488.94,5.26,0,0,170.87,0,2.63,0,0,0,0,0,0
 10-12,0,6.29,18.88,0,3.15,31.47,0,0,0,6.29,0,0,0,0,0,0,327.28,6.29,0,0,144.76,3.15,0,3.15,12.59,0,0,0,0
 14-21,0,0,1,7,0,5,0,0,0,0,0,0,1,0,0,0,14,0,0,1,1,0,0,2,0,1,6,0,0
 24-34,0,0,0,0,0.82,4.1,0,0,0,0,0,0,3.28,0,0,2.46,49.25,0,0,2.46,0,0.82,0,0,0,0.82,15.6,0,0
 36-46,0,0,0,0,0,7.25,0,0,0,0,0.81,0,0.81,0,0,0.81,7.25,0,0,0,0,1.61,0,0,0,0,2.42,0,0
 48-58,0,0,0,2.3,0,8.61,0,0.57,1.72,0,0,0.57,4.02,0,0.57,0,8.61,0,0,0.57,0,0.57,0,0,0,0,4.02,0,0
 60-70,0,0,0,0.98,0,3.93,0.98,0,0.98,0,0,0,2.94,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0.98,0.98,0
 72-82,0,0,0,0,0,6.87,0,0.98,2.94,0,0,0,3.93,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,2.12,0,0,2.12,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,1.09,1.09,0,0,3.28,0,1.09,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,1.53,0,0.77,0,0,0.77,0,0,0,1.53,0,0.77,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,1.96,0,0,0,1.96,0,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0
