stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,276.74,6747.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.91,0,0,0,0,0,0,0,0,0
  5-6,441.33,6270.62,6.13,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,177.76,30.65,0,0,67.43,0,110.33,0,0,0,0,0,0,0,0,0
  7-9,89.38,147.21,365.39,0,2.63,0,536.26,0,0,0,0,105.15,0,0,0,0,0,0,0,0,0,0,0,4658.08,126.18,0,0,1858.5,0,21.03,21.03,0,2.63,0,0,0,0,0,0
 10-12,0,132.17,258.05,0,28.32,0,459.46,0,0,0,0,78.67,0,0,0,0,0,0,0,0,0,0,0,3502.58,66.09,0,0,1334.31,0,6.29,12.59,9.44,154.2,6.29,9.44,0,0,0,0
 14-21,0,0,11,102,29,0,60,1,0,14,3,3,1,1,4,0,0,0,1,71,0,0,35,870,19,6,13,19,0,12,0,92,8,68,227,0,4,0,0
 24-34,0,0,2.46,29.55,9.85,0,162.53,0,4.1,25.45,2.46,0.82,1.64,1.64,4.1,0,1.64,0.82,0,115.74,1.64,2.46,50.89,1205.02,4.1,7.39,13.13,0,0,44.33,0,0.82,1.64,8.21,267.6,0,15.6,0,2.46
 36-46,0,0,0.81,10.47,0.81,0,339.99,0.81,0,23.36,1.61,0,0.81,3.22,0,0.81,0.81,1.61,0,87.01,0.81,2.42,33.84,749.27,0.81,7.25,2.42,0,0,9.67,0,0.81,0.81,0,170.8,0,8.06,0,3.22
 48-58,0,0,0,12.05,2.3,0,384.45,1.72,3.44,18.94,0,0,2.87,2.3,1.15,1.72,1.15,1.15,0,121.07,1.15,5.74,20.66,364.94,1.15,1.15,5.16,0,0,9.18,0,0,0,0,67.14,0,8.03,0,0.57
 60-70,0,0,0,13.74,0.98,0,283.66,1.96,0.98,18.65,1.96,0,1.96,2.94,0,2.94,3.93,0,0,75.58,0,8.83,22.58,191.4,0.98,0,2.94,0,0,0.98,0,0,0,0,13.74,0,4.91,0,0.98
 72-82,0,0,0,14.72,2.94,0,101.11,0.98,0,27.49,5.89,0,0.98,0.98,1.96,0.98,0,2.94,0.98,77.55,0.98,7.85,11.78,146.27,0,1.96,3.93,0,0.98,1.96,0,0,0,0,1.96,0,9.82,0.98,1.96
 84-94,0,0,0,16.99,4.25,1.06,97.71,1.06,2.12,19.12,8.5,0,0,5.31,2.12,0,1.06,2.12,0,72.22,0,7.43,20.18,139.13,1.06,4.25,5.31,0,0,6.37,0,0,2.12,0,2.12,2.12,5.31,0,0
 96-106,0,0,0,20.76,6.56,1.09,72.13,1.09,2.19,20.76,5.46,0,2.19,12.02,0,0,2.19,1.09,0,36.06,0,2.19,7.65,89.61,0,2.19,6.56,0,1.09,3.28,0,0,0,0,1.09,0,6.56,0,0
108-118,0,0,0,11.49,9.19,0,72,0.77,0.77,16.09,3.06,0,0,11.49,0.77,3.06,0.77,3.06,0.77,35.23,0,0.77,16.09,123.32,0.77,2.3,5.36,0,0,5.36,0,0,0.77,0,1.53,3.06,6.89,0,0
120,0,0,0,9.8,7.84,1.96,64.67,0,0,9.8,0,0,0,7.84,1.96,0,0,0,0,27.44,0,3.92,7.84,99.95,0,3.92,3.92,0,0,0,0,0,0,0,0,0,5.88,0,0
