stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,4,1,0,0,0,1,0,2,2,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,11.49,0,0.82,0,0,4.93,0,0.82,9.85,0,0,0,0,0.82
 36-46,0,0,0,0,4.03,0,0.81,0,2.42,0,0.81,0,0.81,0,0,0,0,1.61,0,0,29.81,0,0,0.81,0,2.42,0.81,0,6.45,0,0,1.61,0,0
 48-58,0,0,0,0,4.02,0.57,0,0,5.74,0,0,0,0,1.15,0,0.57,1.15,4.59,0,0,42.46,0,0.57,0.57,0.57,1.15,0,0,7.46,0,0,0.57,0,0
 60-70,0,0,0.98,1.96,13.74,0,0.98,0,2.94,0,0,1.96,0.98,0,0,0,0,9.82,0,0,100.12,0,0,0,0,4.91,0,0,10.8,0,0,0,0,0
 72-82,0,0,1.96,14.72,30.43,0,0,0,16.69,0,0,0,0.98,0,0.98,0.98,0,11.78,0,0.98,165.9,0,0.98,0.98,0,0.98,0,0,10.8,0,0,4.91,0,0
 84-94,0,0,2.12,9.56,26.55,0,2.12,1.06,9.56,1.06,0,0,3.19,1.06,0,0,0,10.62,0,0,100.89,0,0,3.19,0,6.37,0,0,5.31,0,0,1.06,1.06,0
 96-106,0,0,2.19,7.65,17.49,1.09,1.09,0,5.46,1.09,0,3.28,1.09,2.19,0,0,0,6.56,0,2.19,72.13,0,1.09,1.09,1.09,3.28,0,0,3.28,1.09,0,3.28,0,0
108-118,0,0,6.89,1.53,21.45,0,0,0,6.13,0.77,0,3.06,1.53,2.3,0.77,0,0,4.6,1.53,2.3,91.15,0,0.77,0,0,3.83,0,0,3.83,0.77,0.77,0.77,0,0.77
120,0,0,3.92,3.92,21.56,0,0,0,9.8,0,0,0,0,1.96,0,0,0,7.84,0,0,154.82,0,3.92,0,0,7.84,0,0,5.88,1.96,0,1.96,0,1.96
