stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,15,1,1,0,1,0,0,2,0,1,11,0,0,1,0
 24-34,0,0,0,0,0.82,6.57,0,0,0,0.82,0,0,0,4.93,0,0,0,3.28,0,2.46,75.52,0,2.46,3.28,0,0,0,0,0,0.82,44.33,0,0,19.7,0
 36-46,0,0,0,0,0,16.92,0,0,0,0.81,0,0,0,0.81,0,0.81,0,6.45,0,0.81,70.9,0,3.22,0.81,0,0,0.81,0,0,0,23.36,0,0,40.28,0
 48-58,0,0,0,0.57,0.57,43.61,0,0,1.15,1.72,0,2.3,0.57,0.57,0,1.72,0,5.74,0,1.72,90.09,0,0.57,1.72,0,0,0.57,0,0,0,27.54,0,0,37.3,0
 60-70,0,0,0,0.98,0,65.76,0,0,0,3.93,0,0,0,0.98,0,0.98,0,6.87,0,0,125.63,0,0,6.87,0,0,0.98,0,0,0,22.58,0,0,43.19,0
 72-82,0,0,0,0.98,1.96,85.4,0,0,0.98,4.91,1.96,0,5.89,0.98,0.98,4.91,0.98,20.61,0,1.96,110.93,0,0,16.69,0,0,0.98,0,0,0,6.87,0,0.98,121.73,0.98
 84-94,0,0,0,5.31,0,70.09,0,1.06,1.06,4.25,1.06,0,4.25,6.37,0,5.31,0,16.99,1.06,0,54.16,0,2.12,25.49,0,0,0,0,3.19,0,4.25,0,1.06,96.65,2.12
 96-106,0,0,0,4.37,3.28,126.77,1.09,0,0,4.37,3.28,1.09,8.74,2.19,0,8.74,0,22.95,0,0,54.64,0,1.09,45.9,0,1.09,0,0,6.56,0,4.37,0,0,128.96,4.37
108-118,0.77,0,1.53,1.53,0.77,124.09,0,0,1.53,9.19,2.3,0,8.43,4.6,0,8.43,0.77,15.32,0,0.77,78.13,0,0,29.87,0,0.77,0,0,13.79,0,3.06,0.77,0,98.81,2.3
120,0,0,0,3.92,1.96,156.78,0,0,0,7.84,3.92,0,9.8,5.88,0,3.92,0,17.64,0,0,80.35,0,1.96,29.4,0,0,0,0,17.64,0,1.96,0,0,86.23,0
