stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,23.66,2.63,0,0,15.77,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,11.49,0,0,0,0,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,1.61,0,0.81,0,0.81,0,0,0,0,0,0,0,0,17.72,0,0,0,0,0.81,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,10.9,0,0,0,0,0,0,0,0,0,3.44,0,0
 60-70,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0.98,0,0,15.7,0,0,0.98,0,0,0,0,0,0,2.94,0,0
 72-82,0,0,0,0,1.96,11.78,0,1.96,0,0,0,0,0.98,4.91,0,0,17.67,0,0.98,0,0,0.98,0,0,0,0,2.94,0,0
 84-94,0,0,0,0,4.25,9.56,1.06,0,0,0,0,0,0,0,1.06,0,13.81,1.06,0,0,0,0,0,0,0,1.06,1.06,2.12,0
 96-106,0,0,0,0,2.19,10.93,0,1.09,0,0,0,0,0,3.28,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0.77,8.43,0.77,3.83,0.77,0,0,0.77,0.77,0,0,0,19.92,0,0,0,0,0.77,0,0,1.53,1.53,0.77,1.53,1.53
120,0,0,0,3.92,5.88,5.88,1.96,3.92,0,0,1.96,0,0,7.84,0,3.92,43.12,1.96,0,3.92,0,5.88,0,0,0,0,3.92,5.88,0
